zaznam,cas,radon[Bq/m3],radon_err,Teplota[C],Vlhkost[%]
#1,23.05.2019 13:48,5542.595,570.5359904718523,17,49
#2,23.05.2019 14:48,6030.82,619.3756408875604,17,49
#3,23.05.2019 15:48,5958.0,612.0905919646361,17,49
#4,23.05.2019 16:48,5284.415,544.7050303649588,17,49
#5,23.05.2019 17:48,4898.8,506.1270992449971,17,49
#6,23.05.2019 18:48,4511.53,467.3750074556181,17,49
#7,23.05.2019 19:48,4059.715,422.1648741058259,17,49
#8,23.05.2019 20:48,3904.145,406.5942319343093,17,49
#9,23.05.2019 21:48,3811.465,397.3175967659625,17,49
#10,23.05.2019 22:48,3497.015,365.8400376706968,17,49
#11,23.05.2019 23:48,3190.84,335.19309751675036,17,49
#12,24.05.2019 00:48,2805.225,296.153588204681,16,49
#13,24.05.2019 01:48,2593.385,274.9374312669139,16,49
#14,24.05.2019 02:48,2364.995,252.05450175758065,16,49
#15,24.05.2019 03:48,2091.92,224.68524131873406,16,49
#16,24.05.2019 04:48,1717.89,187.1566759857813,16,49
#17,24.05.2019 05:48,1818.845,197.29886619486254,16,49
#18,24.05.2019 06:48,1519.29,167.21969228955774,16,49
#19,24.05.2019 07:48,1410.06,156.242692821603,16,49
#20,24.05.2019 08:48,1256.145,140.7641756625452,16,49
#21,24.05.2019 09:48,1120.435,127.08582829133056,16,49
#22,24.05.2019 10:48,1079.06,123.04597878378172,16,50
#23,24.05.2019 11:48,1052.58,120.36712801578857,16,50
#24,24.05.2019 12:48,897.01,104.64731147274126,16,50
#25,24.05.2019 13:48,892.045,104.53055965808677,17,50
26,24.05.2019 14:48,809.295,96.1503302938704,17,50
27,24.05.2019 15:48,739.785,88.9721360316823,17,49
28,24.05.2019 16:48,762.955,91.32862737116486,17,49
29,24.05.2019 17:48,600.765,74.78138138492703,17,49
30,24.05.2019 18:48,693.445,84.25258229411244,17,49
31,24.05.2019 19:48,647.105,79.52296702756598,17,49
32,24.05.2019 20:48,653.725,80.19930978324936,17,49
33,24.05.2019 21:48,610.695,75.79855563129512,17,49
34,24.05.2019 22:48,713.3050000000001,86.27638385399156,17,49
35,24.05.2019 23:48,653.725,80.19930978324936,17,49
36,25.05.2019 00:48,762.955,91.32862737116486,17,49
37,25.05.2019 01:48,877.15,102.89010065767195,17,49
38,25.05.2019 02:48,815.915,96.70772751657462,17,49
39,25.05.2019 03:48,805.985,95.69985228704533,17,49
40,25.05.2019 04:48,883.77,103.56088841821582,17,49
41,25.05.2019 05:48,834.12,98.52708332607378,17,49
42,25.05.2019 06:48,956.59,110.93258700965723,17,49
43,25.05.2019 07:48,809.295,96.03584513057548,17,49
44,25.05.2019 08:48,963.21,111.60215751449616,17,49
45,25.05.2019 09:48,867.22,101.88370351619,17,49
46,25.05.2019 10:48,906.94,105.90777486267775,17,49
47,25.05.2019 11:48,796.0550000000001,94.69166275601545,17,49
48,25.05.2019 12:48,690.135,83.91510643282756,17,49
49,25.05.2019 13:48,723.235,87.28763348386455,17,49
50,25.05.2019 14:48,536.22,68.52109866662248,18,49
51,25.05.2019 15:48,213.495,34.51035056058568,19,48
52,25.05.2019 16:48,86.06,19.24360101436319,19,48
53,25.05.2019 17:48,52.96,14.259916409292167,18,49
54,25.05.2019 18:48,16.55,7.584162775151915,18,50
55,25.05.2019 19:48,16.55,7.584162775151915,18,51
56,25.05.2019 20:48,13.24,6.751101835996847,17,52
57,25.05.2019 21:48,29.79,10.367224363348177,17,53
58,25.05.2019 22:48,26.48,9.729373258334782,17,54
59,25.05.2019 23:48,76.13,17.92769292311352,17,55
60,26.05.2019 00:48,97.645,20.594244569489092,16,55
61,26.05.2019 01:48,119.16,23.402559420468766,16,56
62,26.05.2019 02:48,135.71,25.38901619795458,16,56
63,26.05.2019 03:48,86.06,18.94523254014054,15,56
64,26.05.2019 04:48,39.72,12.134660440243064,15,57
65,26.05.2019 05:48,59.58,15.254755455267057,15,57
66,26.05.2019 06:48,62.89,15.739041298630612,15,58
67,26.05.2019 07:48,62.89,15.739041298630612,15,58
68,26.05.2019 08:48,110.885,22.52084996245146,16,59
69,26.05.2019 09:48,69.51,17.02640320208587,16,59
70,26.05.2019 10:48,34.755,11.526929458880192,17,59
71,26.05.2019 11:48,9.93,5.818449020142739,17,59
72,26.05.2019 12:48,9.93,5.818449020142739,17,59
73,26.05.2019 13:48,16.55,7.584162775151915,17,58
74,26.05.2019 14:48,6.62,4.727625619695366,18,58
75,26.05.2019 15:48,28.135,10.337459086980708,18,58
76,26.05.2019 16:48,3.31,3.3265088305910147,19,57
77,26.05.2019 17:48,21.515,9.043127579364713,19,57
78,26.05.2019 18:48,13.24,6.751101835996847,19,56
79,26.05.2019 19:48,13.24,6.751101835996847,18,56
80,26.05.2019 20:48,13.24,6.751101835996847,18,57
81,26.05.2019 21:48,21.515,9.043127579364713,18,57
82,26.05.2019 22:48,31.445,10.943181272423075,17,57
83,26.05.2019 23:48,9.93,5.818449020142739,17,58
84,27.05.2019 00:48,19.86,8.347502380952044,17,58
85,27.05.2019 01:48,34.755,11.526929458880192,17,58
86,27.05.2019 02:48,52.96,14.663959992671375,17,59
87,27.05.2019 03:48,34.755,11.526929458880192,16,60
88,27.05.2019 04:48,13.24,6.751101835996847,16,60
89,27.05.2019 05:48,51.305,14.205711242900396,16,60
90,27.05.2019 06:48,84.405,19.185512102234856,16,60
91,27.05.2019 07:48,140.675,26.55779537824185,17,60
92,27.05.2019 08:48,134.055,25.79541020574072,17,60
93,27.05.2019 09:48,57.925000000000004,15.596783572663307,17,61
94,27.05.2019 10:48,21.515,9.043127579364713,18,61
95,27.05.2019 11:48,6.62,4.727625619695366,18,60
96,27.05.2019 12:48,14.895,7.594989565496452,19,59
97,27.05.2019 13:48,29.79,10.94554491562663,19,59
98,27.05.2019 14:48,18.205000000000002,8.342579052667107,19,59
99,27.05.2019 15:48,9.93,5.818449020142739,19,58
100,27.05.2019 16:48,21.515,9.043127579364713,19,59
101,27.05.2019 17:48,14.895,7.594989565496452,18,61
102,27.05.2019 18:48,18.205000000000002,8.342579052667107,18,62
103,27.05.2019 19:48,38.065,12.624732264487829,18,63
104,27.05.2019 20:48,18.205000000000002,8.342579052667107,18,64
105,27.05.2019 21:48,59.58,16.04240596045369,17,65
106,27.05.2019 22:48,86.06,19.901691022755266,17,65
107,27.05.2019 23:48,100.955,21.895144288132656,17,65
108,28.05.2019 00:48,127.435,25.298901488299958,17,65
109,28.05.2019 01:48,112.54,23.42706915799186,17,66
110,28.05.2019 02:48,165.5,29.940076516571928,17,66
111,28.05.2019 03:48,177.085,31.31781931783355,17,66
112,28.05.2019 04:48,162.19,29.57725494086984,17,66
113,28.05.2019 05:48,211.84,35.357068786069604,17,66
114,28.05.2019 06:48,158.88,29.21384751889321,17,67
115,28.05.2019 07:48,129.09,25.62745865048567,17,67
116,28.05.2019 08:48,173.775,30.732439517500207,16,67
117,28.05.2019 09:48,167.155,30.0052407778856,16,68
118,28.05.2019 10:48,84.405,19.518966195394587,16,68
119,28.05.2019 11:48,66.2,16.949728283630062,16,68
120,28.05.2019 12:48,77.785,18.671486451207336,16,68
121,28.05.2019 13:48,33.1,11.519138181497974,16,68
122,28.05.2019 14:48,21.515,9.043127579364713,16,69
123,28.05.2019 15:48,54.615,15.122208742442355,15,70
124,28.05.2019 16:48,51.305,14.64023674793937,15,70
125,28.05.2019 17:48,43.03,13.145882143596653,15,71
126,28.05.2019 18:48,64.545,16.525985076539314,14,71
127,28.05.2019 19:48,28.135,10.337459086980708,14,71
128,28.05.2019 20:48,13.24,6.751101835996847,13,71
129,28.05.2019 21:48,28.135,10.337459086980708,13,72
130,28.05.2019 22:48,28.135,10.337459086980708,13,72
131,28.05.2019 23:48,26.48,9.729373258334782,12,73
132,29.05.2019 00:48,13.24,6.751101835996847,12,73
133,29.05.2019 01:48,6.62,4.727625619695366,12,74
134,29.05.2019 02:48,19.86,8.347502380952044,12,74
135,29.05.2019 03:48,34.755,11.526929458880192,13,74
136,29.05.2019 04:48,46.34,13.662292374381284,13,74
137,29.05.2019 05:48,59.58,15.630359575857117,13,74
138,29.05.2019 06:48,77.785,18.31742537796381,13,74
139,29.05.2019 07:48,44.685,13.174353361010525,13,73
140,29.05.2019 08:48,56.27,15.151161184872928,13,73
141,29.05.2019 09:48,41.375,12.64027129191986,13,73
142,29.05.2019 10:48,34.755,11.526929458880192,13,73
143,29.05.2019 11:48,33.1,10.978028056076372,12,73
144,29.05.2019 12:48,26.48,9.729373258334782,12,73
145,29.05.2019 13:48,51.305,14.205711242900396,12,73
146,29.05.2019 14:48,64.545,16.153226595962998,12,73
147,29.05.2019 15:48,19.86,8.347502380952044,12,72
148,29.05.2019 16:48,39.72,12.134660440243064,12,72
149,29.05.2019 17:48,43.03,12.686414347639763,12,71
150,29.05.2019 18:48,51.305,14.205711242900396,13,71
151,29.05.2019 19:48,34.755,11.526929458880192,13,70
152,29.05.2019 20:48,43.03,12.686414347639763,12,70
