zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	Algorit.	
310	05.06.2019 12:35	203	2	10	74	0	24	50	9	1	
311	05.06.2019 13:35	63	1	3	23	0	24	50	9	1	
312	05.06.2019 14:35	21	1	5	4	0	24	51	9	1	
313	05.06.2019 15:35	46	1	13	6	0	24	51	9	1	
314	05.06.2019 16:35	65	0	17	10	0	24	50	9	1	
315	05.06.2019 17:35	77	4	14	18	0	24	50	9	1	
316	05.06.2019 18:35	65	1	12	15	0	24	50	9	1	
317	05.06.2019 19:35	70	2	15	14	0	24	51	9	1	
318	05.06.2019 20:35	97	3	20	20	0	24	51	9	1	
319	05.06.2019 21:35	97	3	23	17	0	24	51	9	1	
320	05.06.2019 22:35	115	3	29	18	0	24	52	9	1	
321	05.06.2019 23:35	64	3	9	18	0	23	52	9	1	
322	06.06.2019 00:35	87	1	21	15	0	23	53	9	1	
323	06.06.2019 01:35	94	1	21	18	0	23	53	9	1	
324	06.06.2019 02:35	88	1	16	20	0	23	54	9	1	
325	06.06.2019 03:35	73	1	16	14	0	23	54	9	1	
326	06.06.2019 04:35	93	0	20	18	0	23	55	9	1	
327	06.06.2019 05:35	54	3	10	12	0	23	55	9	1	
328	06.06.2019 06:35	88	3	19	17	0	23	55	9	1	
329	06.06.2019 07:35	73	0	17	13	0	23	54	9	1	
330	06.06.2019 08:35	80	2	15	18	0	23	54	9	1	
331	06.06.2019 09:35	73	2	10	20	0	23	54	9	1	
332	06.06.2019 10:35	88	0	17	19	0	23	54	9	1	
333	06.06.2019 11:35	73	1	15	15	0	23	54	9	1	
334	06.06.2019 12:35	45	2	9	9	0	24	55	9	1	
335	06.06.2019 13:35	58	4	13	10	0	24	55	9	1	
336	06.06.2019 14:35	55	0	12	10	0	24	55	9	1	
337	06.06.2019 15:35	78	2	13	18	0	24	55	9	1	
338	06.06.2019 16:35	50	1	11	9	0	24	55	9	1	
339	06.06.2019 17:35	96	1	18	20	0	24	56	9	1	
340	06.06.2019 18:35	63	2	10	15	0	24	56	9	1	
341	06.06.2019 19:35	76	2	13	17	0	24	56	9	1	
342	06.06.2019 20:35	106	2	24	18	0	24	56	9	1	
343	06.06.2019 21:35	101	1	15	25	0	24	56	9	1	
344	06.06.2019 22:35	123	1	31	17	0	24	57	9	1	
345	06.06.2019 23:35	166	2	35	30	0	24	57	9	1	
346	07.06.2019 00:35	185	2	38	35	0	24	56	9	1	
347	07.06.2019 01:35	178	0	30	40	0	24	56	9	1	
348	07.06.2019 02:35	165	2	34	31	0	24	56	9	1	
349	07.06.2019 03:35	146	3	25	34	0	23	56	9	1	
350	07.06.2019 04:35	110	3	22	23	0	23	55	9	1	
351	07.06.2019 05:35	110	5	22	23	0	23	55	9	1	
352	07.06.2019 06:35	117	2	24	24	0	23	54	9	1	
353	07.06.2019 07:35	136	1	28	28	0	23	54	9	1	
354	07.06.2019 08:35	124	3	22	29	0	23	54	9	1	
355	07.06.2019 09:35	114	4	25	22	0	23	54	9	1	
356	07.06.2019 10:35	136	4	29	27	0	23	54	9	1	
357	07.06.2019 11:35	188	3	37	40	0	23	54	9	1	
358	07.06.2019 12:35	180	1	41	33	0	23	54	9	1	
359	07.06.2019 13:35	146	1	24	36	0	23	54	9	1	
360	07.06.2019 14:35	150	0	31	29	0	24	54	9	1	
361	07.06.2019 15:35	122	3	28	21	0	24	54	9	1	
362	07.06.2019 16:35	105	1	23	19	0	24	54	9	1	
363	07.06.2019 17:35	95	4	25	13	0	24	54	9	1	
364	07.06.2019 18:35	117	3	22	25	0	24	54	9	1	
365	07.06.2019 19:35	75	3	14	16	0	24	54	9	1	
366	07.06.2019 20:35	97	1	20	19	0	24	54	9	1	
367	07.06.2019 21:35	131	1	32	20	0	24	55	9	1	
368	07.06.2019 22:35	133	4	29	24	0	24	55	9	1	
369	07.06.2019 23:35	115	3	23	24	0	23	55	9	1	
370	08.06.2019 00:35	136	5	26	29	0	23	56	9	1	
371	08.06.2019 01:35	114	2	24	22	0	23	56	9	1	
372	08.06.2019 02:35	91	1	17	20	0	23	56	9	1	
373	08.06.2019 03:35	62	3	12	13	0	23	56	9	1	
374	08.06.2019 04:35	89	3	20	16	0	23	56	9	1	
375	08.06.2019 05:35	114	1	25	21	0	23	56	9	1	
376	08.06.2019 06:35	129	2	25	27	0	23	56	9	1	
377	08.06.2019 07:35	145	1	28	31	0	23	55	9	1	
378	08.06.2019 08:35	156	1	29	35	0	23	54	9	1	
379	08.06.2019 09:35	123	2	26	25	0	23	53	9	1	
380	08.06.2019 10:35	151	4	28	35	0	23	52	9	1	
381	08.06.2019 11:35	126	1	23	30	0	23	51	9	1	
382	08.06.2019 12:35	111	3	16	31	0	23	50	9	1	
383	08.06.2019 13:35	88	0	19	19	0	23	49	9	1	
384	08.06.2019 14:35	102	3	26	17	0	24	48	9	1	
385	08.06.2019 15:35	130	3	35	20	0	24	48	9	1	
386	08.06.2019 16:35	127	2	27	27	0	24	47	9	1	
387	08.06.2019 17:35	107	4	23	23	0	24	46	9	1	
388	08.06.2019 18:35	141	0	31	31	0	23	46	9	1	
389	08.06.2019 19:35	137	1	28	33	0	23	45	9	1	
390	08.06.2019 20:35	117	3	27	25	0	23	45	9	1	
391	08.06.2019 21:35	146	4	42	23	0	23	45	9	1	
392	08.06.2019 22:35	160	5	27	45	0	23	44	9	1	
393	08.06.2019 23:35	95	1	22	21	0	23	44	9	1	
394	09.06.2019 00:35	129	3	32	26	0	23	44	9	1	
395	09.06.2019 01:35	116	1	20	32	0	23	44	9	1	
396	09.06.2019 02:35	111	1	27	23	0	23	44	9	1	
397	09.06.2019 03:35	80	3	12	24	0	23	44	9	1	
398	09.06.2019 04:35	122	3	37	18	0	23	44	9	1	
399	09.06.2019 05:35	102	1	24	22	0	23	44	9	1	
400	09.06.2019 06:35	108	2	23	26	0	23	43	9	1	
401	09.06.2019 07:35	94	3	22	21	0	23	43	9	1	
402	09.06.2019 08:35	112	2	27	24	0	23	43	9	1	
403	09.06.2019 09:35	112	2	26	25	0	23	43	9	1	
404	09.06.2019 10:35	86	3	19	20	0	23	43	9	1	
405	09.06.2019 11:35	79	0	16	20	0	23	43	9	1	
406	09.06.2019 12:35	83	2	23	15	0	23	43	9	1	
407	09.06.2019 13:35	55	1	15	10	0	23	43	9	1	
408	09.06.2019 14:35	72	1	16	17	0	23	43	9	1	
409	09.06.2019 15:35	66	2	10	20	0	23	43	9	1	
410	09.06.2019 16:35	39	0	10	8	0	23	42	9	1	
411	09.06.2019 17:35	44	2	9	11	0	24	42	9	1	
412	09.06.2019 18:35	45	1	9	11	0	24	43	9	1	
413	09.06.2019 19:35	26	2	9	3	0	23	44	9	1	
414	09.06.2019 20:35	36	1	10	6	0	23	45	9	1	
415	09.06.2019 21:35	77	2	19	15	0	23	46	9	1	
416	09.06.2019 22:35	112	2	28	21	0	23	47	9	1	
417	09.06.2019 23:35	120	6	27	25	0	23	48	9	1	
418	10.06.2019 00:35	112	3	27	21	0	23	49	9	1	
419	10.06.2019 01:35	103	4	18	26	0	23	49	9	1	
420	10.06.2019 02:35	118	2	24	26	0	23	50	9	1	
421	10.06.2019 03:35	122	3	23	29	0	23	50	9	1	
422	10.06.2019 04:35	106	3	14	31	0	23	50	9	1	
423	10.06.2019 05:35	85	3	15	21	0	23	50	9	1	
424	10.06.2019 06:35	59	1	14	11	0	23	50	9	1	
425	10.06.2019 07:35	63	1	9	18	0	23	50	9	1	
