zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	Algorit.	
782	09.06.2019 17:28	162	0	32	35	0	24	42	9	1
781	09.06.2019 18:28	174	3	32	40	0	24	42	9	1
780	09.06.2019 19:28	162	2	36	31	0	24	42	9	1
779	09.06.2019 20:28	173	3	38	33	0	24	43	9	1
778	09.06.2019 21:28	136	4	30	26	0	24	43	9	1
777	09.06.2019 22:28	141	5	29	29	0	24	43	9	1
776	09.06.2019 23:28	177	0	45	27	0	24	44	9	1
775	10.06.2019 00:28	145	2	18	41	0	24	44	9	1
774	10.06.2019 01:28	138	0	26	30	0	24	44	9	1
773	10.06.2019 02:28	99	3	19	21	0	24	45	9	1
772	10.06.2019 03:28	104	4	21	21	0	24	45	9	1
771	10.06.2019 04:28	79	1	10	22	0	24	45	9	1
770	10.06.2019 05:28	88	0	16	19	0	24	46	9	1
769	10.06.2019 06:28	37	0	5	10	0	24	46	9	1
768	10.06.2019 07:28	50	1	14	6	0	24	46	9	1
767	10.06.2019 08:28	78	0	17	14	0	24	46	9	1
766	10.06.2019 09:28	85	1	17	17	0	24	46	9	1
765	10.06.2019 10:28	86	3	16	18	0	24	47	9	1
764	10.06.2019 11:28	103	2	19	21	0	25	46	9	1
763	10.06.2019 12:28	109	2	26	17	0	24	47	9	1
762	10.06.2019 13:28	104	2	22	19	0	24	47	9	1
761	10.06.2019 14:28	153	1	40	19	0	25	47	9	1
760	10.06.2019 15:28	198	2	40	36	0	25	47	9	1
759	10.06.2019 16:28	195	3	37	38	0	25	47	9	1
758	10.06.2019 17:28	177	2	40	28	0	25	47	9	1
757	10.06.2019 18:28	216	4	41	42	0	25	47	9	1
756	10.06.2019 19:28	236	4	48	42	0	25	48	9	1
755	10.06.2019 20:28	244	4	40	53	0	25	48	9	1
754	10.06.2019 21:28	257	3	40	57	0	25	49	9	1
753	10.06.2019 22:28	188	2	29	42	0	25	49	9	1
752	10.06.2019 23:28	119	2	20	26	0	24	49	9	1
751	11.06.2019 00:28	104	0	12	28	0	24	50	9	1
750	11.06.2019 01:28	54	0	11	10	0	24	50	9	1
749	11.06.2019 02:28	83	1	15	17	0	24	50	9	1
748	11.06.2019 03:28	100	0	17	21	0	24	51	9	1
747	11.06.2019 04:28	47	1	5	13	0	24	51	9	1
746	11.06.2019 05:28	60	0	7	16	0	24	51	9	1
745	11.06.2019 06:28	34	0	6	7	0	24	52	9	1
744	11.06.2019 07:28	34	2	6	7	0	24	52	9	1
743	11.06.2019 08:28	35	1	5	8	0	25	52	9	1
742	11.06.2019 09:28	30	0	3	8	0	25	53	9	1
741	11.06.2019 10:28	32	3	5	7	0	25	53	9	1
740	11.06.2019 11:28	85	0	17	14	0	25	53	9	1
739	11.06.2019 12:28	73	1	16	11	0	25	52	9	1
738	11.06.2019 13:28	119	3	26	18	0	25	52	9	1
