zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	Algorit.	
345	06.06.2019 23:36	413	2	45	60	0	24	49	9	1	
346	07.06.2019 00:36	377	4	53	43	0	24	49	9	1	
347	07.06.2019 01:36	295	3	32	43	0	24	49	9	1	
348	07.06.2019 02:36	271	4	32	37	0	24	49	9	1	
349	07.06.2019 03:36	240	2	25	36	0	24	49	9	1	
350	07.06.2019 04:36	200	7	24	27	0	24	49	9	1	
351	07.06.2019 05:36	200	6	21	30	0	24	49	9	1	
352	07.06.2019 06:36	241	1	30	32	0	24	48	9	1	
353	07.06.2019 07:36	148	2	21	17	0	24	48	9	1	
354	07.06.2019 08:36	210	2	25	29	0	24	48	9	1	
355	07.06.2019 09:36	257	2	35	31	0	24	48	9	1	
356	07.06.2019 10:36	354	2	47	44	0	24	48	9	1	
357	07.06.2019 11:36	292	7	42	33	0	24	48	9	1	
358	07.06.2019 12:36	350	4	37	53	0	24	48	9	1	
359	07.06.2019 13:36	253	2	31	34	0	24	48	9	1	
360	07.06.2019 14:36	308	4	42	37	0	24	48	9	1	
361	07.06.2019 15:36	315	4	40	41	0	24	48	9	1	
362	07.06.2019 16:36	393	5	46	55	0	24	48	9	1	
363	07.06.2019 17:36	261	3	29	38	1	24	48	9	1	
364	07.06.2019 18:36	339	1	45	42	0	24	48	9	1	
365	07.06.2019 19:36	280	5	38	34	0	24	48	9	1	
366	07.06.2019 20:36	245	2	26	37	0	24	48	9	1	
367	07.06.2019 21:36	319	5	38	44	0	24	48	9	1	
368	07.06.2019 22:36	237	3	23	38	0	24	48	9	1	
369	07.06.2019 23:36	300	4	30	47	0	24	48	9	1	
370	08.06.2019 00:36	295	3	34	41	0	24	49	9	1	
371	08.06.2019 01:36	240	2	24	37	0	24	49	9	1	
372	08.06.2019 02:36	224	3	22	35	0	24	49	9	1	
373	08.06.2019 03:36	206	3	25	27	0	24	50	9	1	
374	08.06.2019 04:36	158	2	19	21	0	24	50	9	1	
375	08.06.2019 05:36	230	5	29	29	0	24	50	9	1	
376	08.06.2019 06:36	254	1	34	30	0	24	50	9	1	
377	08.06.2019 07:36	216	3	24	31	0	24	49	9	1	
378	08.06.2019 08:36	263	3	27	40	0	24	49	9	1	
379	08.06.2019 09:36	269	3	37	32	0	24	48	9	1	
380	08.06.2019 10:36	181	4	22	25	0	24	47	9	1	
381	08.06.2019 11:36	204	4	19	34	0	24	47	9	1	
382	08.06.2019 12:36	160	2	14	28	0	24	46	9	1	
383	08.06.2019 13:36	162	3	22	21	0	24	45	9	1	
384	08.06.2019 14:36	189	3	25	25	0	24	45	9	1	
385	08.06.2019 15:36	210	7	31	25	0	24	44	9	1	
386	08.06.2019 16:36	243	3	34	31	0	24	44	9	1	
387	08.06.2019 17:36	270	5	31	42	0	24	43	9	1	
388	08.06.2019 18:36	300	4	31	50	0	24	43	9	1	
389	08.06.2019 19:36	293	5	42	37	0	24	43	9	1	
390	08.06.2019 20:36	230	1	36	26	0	24	43	9	1	
391	08.06.2019 21:36	279	4	38	38	0	24	42	9	1	
392	08.06.2019 22:36	264	9	34	38	0	24	42	9	1	
393	08.06.2019 23:36	290	7	35	44	0	24	42	9	1	
394	09.06.2019 00:36	246	5	28	39	0	24	42	9	1	
395	09.06.2019 01:36	227	3	30	32	0	24	42	9	1	
396	09.06.2019 02:36	227	7	27	35	0	24	42	9	1	
397	09.06.2019 03:36	228	3	29	34	0	24	41	9	1	
398	09.06.2019 04:36	201	5	23	34	0	23	41	9	1	
399	09.06.2019 05:36	221	1	31	30	0	24	41	9	1	
400	09.06.2019 06:36	163	4	20	25	0	24	41	9	1	
401	09.06.2019 07:36	265	5	35	38	0	24	41	9	1	
402	09.06.2019 08:36	272	5	41	35	0	24	40	9	1	
403	09.06.2019 09:36	222	6	24	38	0	24	40	9	1	
404	09.06.2019 10:36	215	5	27	33	0	24	40	9	1	
405	09.06.2019 11:36	204	1	27	30	0	24	40	9	1	
406	09.06.2019 12:36	114	1	21	11	0	24	40	9	1	
407	09.06.2019 13:36	172	9	21	27	0	24	40	9	1	
408	09.06.2019 14:36	219	5	36	25	0	24	40	9	1	
409	09.06.2019 15:36	201	5	32	24	0	24	40	9	1	
410	09.06.2019 16:36	276	5	39	38	0	24	40	9	1	
411	09.06.2019 17:36	222	4	27	35	0	24	40	9	1	
412	09.06.2019 18:36	276	6	39	37	0	24	41	9	1	
413	09.06.2019 19:36	243	4	31	36	0	24	41	9	1	
414	09.06.2019 20:36	249	5	30	38	0	24	42	9	1	
415	09.06.2019 21:36	345	3	44	50	0	24	42	9	1	
416	09.06.2019 22:36	271	1	29	45	0	24	42	9	1	
417	09.06.2019 23:36	382	4	49	54	0	24	43	9	1	
418	10.06.2019 00:36	289	5	37	41	0	24	43	9	1	
419	10.06.2019 01:36	292	3	32	46	0	24	44	9	1	
420	10.06.2019 02:36	251	1	25	42	0	24	44	9	1	
421	10.06.2019 03:36	240	4	29	35	0	24	44	9	1	
422	10.06.2019 04:36	174	5	18	28	0	24	45	9	1	
423	10.06.2019 05:36	204	2	21	33	0	24	45	9	1	
424	10.06.2019 06:36	166	0	20	24	0	24	45	9	1	
425	10.06.2019 07:36	208	3	30	25	0	24	45	9	1	
426	10.06.2019 08:36	185	5	25	24	0	24	45	9	1	
427	10.06.2019 09:36	162	3	25	18	0	24	45	9	1	
428	10.06.2019 10:36	257	7	36	32	0	24	45	9	1	
429	10.06.2019 11:36	197	5	24	28	0	24	45	9	1	
430	10.06.2019 12:36	248	3	32	33	0	24	46	9	1	
431	10.06.2019 13:36	302	3	42	37	0	24	46	9	1	
432	10.06.2019 14:36	348	4	44	47	0	24	46	9	1	
433	10.06.2019 15:36	357	3	44	47	0	25	46	9	1	
434	10.06.2019 16:36	356	7	43	47	0	25	47	9	1	
435	10.06.2019 17:36	431	6	54	55	0	25	47	9	1	
436	10.06.2019 18:36	368	6	40	53	0	25	47	9	1	
437	10.06.2019 19:36	382	7	43	55	0	24	48	9	1	
438	10.06.2019 20:36	389	7	49	51	0	24	48	9	1	
439	10.06.2019 21:36	323	7	43	40	0	24	48	9	1	
440	10.06.2019 22:36	318	8	36	45	0	24	49	9	1	
441	10.06.2019 23:36	322	4	43	39	0	24	49	9	1	
442	11.06.2019 00:36	350	8	29	60	0	24	49	9	1	
443	11.06.2019 01:36	204	1	24	28	0	24	49	9	1	
444	11.06.2019 02:36	251	8	25	39	0	24	49	9	1	
445	11.06.2019 03:36	188	0	24	24	0	24	49	9	1	
446	11.06.2019 04:36	293	2	38	36	0	24	50	9	1	
447	11.06.2019 05:36	238	3	27	33	0	24	50	9	1	
448	11.06.2019 06:36	235	3	22	36	0	25	50	9	1	
449	11.06.2019 07:36	219	3	26	28	0	25	50	9	1	
450	11.06.2019 08:36	203	4	22	28	0	25	50	9	1	
451	11.06.2019 09:36	231	3	24	33	0	25	50	9	1	
452	11.06.2019 10:36	240	0	24	35	0	25	50	9	1	
453	11.06.2019 11:36	256	8	31	32	0	25	50	9	1	
454	11.06.2019 12:36	219	2	27	27	0	25	50	9	1	
455	11.06.2019 13:36	260	3	26	38	0	25	50	9	1	
456	11.06.2019 14:36	235	6	25	33	0	25	50	9	1	
457	11.06.2019 15:36	272	3	26	41	0	25	50	9	1	
458	11.06.2019 16:36	287	2	36	34	0	25	51	9	1	
459	11.06.2019 17:36	254	4	25	37	1	25	51	9	1	
460	11.06.2019 18:36	184	1	19	26	0	25	51	9	1	
461	11.06.2019 19:36	191	2	22	25	0	25	50	9	1	
462	11.06.2019 20:36	183	6	24	21	1	25	50	9	1	
463	11.06.2019 21:36	340	2	43	40	0	25	51	9	1	
464	11.06.2019 22:36	237	2	28	30	0	25	51	9	1	
465	11.06.2019 23:36	279	3	33	35	0	25	51	9	1	
466	12.06.2019 00:36	262	3	32	32	0	25	51	9	1	
