ozn;R;uR
R12;40,35336939;13,36077896
R13;11,91715846;8,22381544
R14;92,92726125;34,04396730
R21;40,49288540;14,81537087
R23;4,37139669;3,33175394
R24;19,72611172;12,74082053
R31;62,64377537;26,06222469
R32;6,17374986;8,91354914
R34;46,46021617;23,94895958
R41;74,63201072;37,72051549
R42;13,61392963;13,15831869
R43;20,37511855;9,86896133
Re1;45,29676117;11,81643979
Re2;12,14167990;4,61567927
Re3;-31,47394625;8,80254939
Re4;41,67093934;13,38306442
