záznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
99	15.06.2019 18:36	412	5	41	58	0	26	50	9	1	
100	15.06.2019 19:36	320	3	30	47	0	26	50	9	1	
101	15.06.2019 20:36	295	6	28	43	0	26	50	9	1	
102	15.06.2019 21:36	237	7	30	27	0	26	50	9	1	
103	15.06.2019 22:36	327	8	40	38	0	26	51	9	1	
104	15.06.2019 23:36	331	5	36	43	0	26	51	9	1	
105	16.06.2019 00:36	390	2	38	55	0	26	51	9	1	
106	16.06.2019 01:36	231	5	27	28	0	26	51	9	1	
107	16.06.2019 02:36	231	7	22	33	0	26	51	9	1	
108	16.06.2019 03:36	222	3	21	32	0	26	51	9	1	
109	16.06.2019 04:36	176	2	22	20	0	26	51	9	1	
110	16.06.2019 05:36	319	8	34	42	0	26	51	9	1	
111	16.06.2019 06:36	243	5	23	35	0	26	51	9	1	
112	16.06.2019 07:36	264	4	35	28	0	26	51	9	1	
113	16.06.2019 08:36	252	8	27	33	0	26	51	9	1	
114	16.06.2019 09:36	256	3	34	27	0	26	51	9	1	
115	16.06.2019 10:36	273	3	25	40	0	26	51	9	1	
116	16.06.2019 11:36	191	3	19	27	0	26	50	9	1	
117	16.06.2019 12:36	145	2	18	17	0	26	50	9	1	
118	16.06.2019 13:36	183	1	26	18	0	26	50	9	1	
119	16.06.2019 14:36	136	4	13	20	0	26	49	9	1	
120	16.06.2019 15:36	177	7	26	17	0	26	49	9	1	
121	16.06.2019 16:36	190	1	25	21	0	26	49	9	1	
122	16.06.2019 17:36	221	5	26	28	1	26	48	9	1	
123	16.06.2019 18:36	212	1	24	28	0	26	48	9	1	
124	16.06.2019 19:36	249	2	28	33	0	26	48	9	1	
125	16.06.2019 20:36	225	3	27	28	0	26	48	9	1	
126	16.06.2019 21:36	212	3	26	26	0	26	48	9	1	
127	16.06.2019 22:36	211	4	26	26	1	26	47	9	1	
128	16.06.2019 23:36	170	5	20	22	0	26	47	9	1	
