záznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
1	11.06.2019 14:22	303	64	76	31	0	25	50	7	1	
2	11.06.2019 15:22	291	41	59	44	0	25	50	7	1	
3	11.06.2019 16:22	310	46	70	37	0	26	50	7	1	
4	11.06.2019 17:22	301	56	64	40	0	26	50	7	1	
5	11.06.2019 18:22	328	54	64	52	0	25	50	7	1	
6	11.06.2019 19:22	255	44	55	35	0	25	50	7	1	
7	11.06.2019 20:22	246	41	57	30	0	25	50	7	1	
8	11.06.2019 21:22	289	65	59	43	0	25	50	7	1	
9	11.06.2019 22:22	267	41	67	25	0	26	50	7	1	
10	11.06.2019 23:22	255	52	58	32	0	25	50	7	1	
11	12.06.2019 00:22	234	46	56	26	0	25	51	7	1	
12	12.06.2019 01:22	288	52	60	41	0	25	51	7	1	
13	12.06.2019 02:22	265	44	59	34	0	25	51	7	1	
14	12.06.2019 03:22	357	59	73	52	0	25	51	7	1	
15	12.06.2019 04:22	397	61	83	56	0	25	51	7	1	
16	12.06.2019 05:22	386	65	79	55	0	25	52	7	1	
17	12.06.2019 06:22	412	56	79	64	0	25	52	7	1	
18	12.06.2019 07:22	475	51	85	80	0	25	52	7	1	
19	12.06.2019 08:22	377	56	67	64	0	25	52	7	1	
20	12.06.2019 09:22	362	44	65	62	0	25	51	7	1	
21	12.06.2019 10:22	274	41	46	50	0	25	51	7	1	
22	12.06.2019 11:22	297	45	60	44	0	25	51	7	1	
23	12.06.2019 12:22	243	52	61	25	0	25	50	7	1	
24	12.06.2019 13:22	218	53	46	31	0	25	50	7	1	
25	12.06.2019 14:22	249	47	52	34	0	26	50	7	1	
26	12.06.2019 15:22	261	53	58	33	0	26	49	7	1	
27	12.06.2019 16:22	284	40	58	41	0	26	49	7	1	
28	12.06.2019 17:22	258	52	60	30	0	26	49	7	1	
29	12.06.2019 18:22	244	60	62	23	0	26	49	7	1	
