záznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
1	11.06.2019 15:35	55	2	10	11	0	25	57	9	1	
2	11.06.2019 16:35	49	2	11	8	1	25	57	9	1	
3	11.06.2019 17:35	67	4	17	9	0	25	56	9	1	
4	11.06.2019 18:35	52	2	6	14	0	25	56	9	1	
5	11.06.2019 19:35	70	2	13	14	0	25	56	9	1	
6	11.06.2019 20:35	70	3	14	13	0	25	56	9	1	
7	11.06.2019 21:35	44	0	12	5	0	25	56	9	1	
8	11.06.2019 22:35	52	2	9	11	0	25	56	9	1	
9	11.06.2019 23:35	47	2	7	11	0	25	57	9	1	
10	12.06.2019 00:35	81	1	14	17	0	25	57	9	1	
11	12.06.2019 01:35	70	1	16	11	0	25	57	9	1	
12	12.06.2019 02:35	97	1	17	20	0	25	57	9	1	
13	12.06.2019 03:35	78	3	15	15	0	25	57	9	1	
14	12.06.2019 04:35	89	1	13	21	0	25	57	9	1	
15	12.06.2019 05:35	78	1	14	16	0	25	57	9	1	
16	12.06.2019 06:35	81	1	15	16	0	25	57	9	1	
17	12.06.2019 07:35	99	4	18	20	0	25	57	9	1	
18	12.06.2019 08:35	76	2	15	14	0	25	57	9	1	
19	12.06.2019 09:35	97	0	22	15	0	25	57	9	1	
20	12.06.2019 10:35	52	2	9	11	0	25	56	9	1	
21	12.06.2019 11:35	72	4	14	14	0	25	55	9	1	
22	12.06.2019 12:35	76	0	16	14	0	25	54	9	1	
23	12.06.2019 13:35	53	1	7	14	0	25	54	9	1	
24	12.06.2019 14:35	63	1	15	10	0	25	53	9	1	
25	12.06.2019 15:35	54	2	9	12	0	26	53	9	1	
26	12.06.2019 16:35	56	2	13	9	0	26	52	9	1	
27	12.06.2019 17:35	59	2	10	13	0	26	53	9	1	
28	12.06.2019 18:35	46	2	10	8	0	26	53	9	1	
29	12.06.2019 19:35	36	0	5	9	0	26	53	9	1	
30	12.06.2019 20:35	31	1	6	6	0	26	53	9	1	
31	12.06.2019 21:35	53	0	12	9	0	25	54	9	1	
32	12.06.2019 22:35	100	3	20	19	0	25	54	9	1	
33	12.06.2019 23:35	105	1	27	14	0	25	55	9	1	
34	13.06.2019 00:35	165	1	29	35	0	25	55	9	1	
35	13.06.2019 01:35	157	5	30	31	0	25	55	9	1	
36	13.06.2019 02:35	199	3	45	32	0	25	55	9	1	
37	13.06.2019 03:35	171	3	35	32	0	25	54	9	1	
38	13.06.2019 04:35	169	1	38	28	0	25	54	9	1	
39	13.06.2019 05:35	164	3	32	32	0	25	54	9	1	
40	13.06.2019 06:35	197	0	34	43	0	25	54	9	1	
41	13.06.2019 07:35	257	2	58	43	0	25	53	9	1	
42	13.06.2019 08:35	124	2	28	21	0	25	53	9	1	
43	13.06.2019 09:35	141	1	22	34	0	25	52	9	1	
44	13.06.2019 10:35	130	2	23	29	0	25	51	9	1	
45	13.06.2019 11:35	147	3	33	26	0	25	51	9	1	
46	13.06.2019 12:35	137	3	20	35	0	25	51	9	1	
47	13.06.2019 13:35	127	1	29	22	0	25	51	9	1	
48	13.06.2019 14:35	150	1	32	28	0	25	51	9	1	
49	13.06.2019 15:35	100	2	21	19	1	25	51	9	1	
50	13.06.2019 16:35	92	1	17	20	0	25	51	9	1	
51	13.06.2019 17:35	118	1	30	17	0	25	52	9	1	
52	13.06.2019 18:35	116	5	25	21	0	25	52	9	1	
53	13.06.2019 19:35	141	5	30	26	0	25	52	9	1	
54	13.06.2019 20:35	137	3	28	26	0	25	53	9	1	
55	13.06.2019 21:35	115	1	18	27	0	25	54	9	1	
56	13.06.2019 22:35	90	0	15	20	0	25	55	9	1	
57	13.06.2019 23:35	131	1	35	16	0	25	55	9	1	
58	14.06.2019 00:35	144	1	38	18	0	25	55	9	1	
59	14.06.2019 01:35	191	4	40	34	0	25	55	9	1	
60	14.06.2019 02:35	165	2	30	34	0	25	55	9	1	
61	14.06.2019 03:35	135	2	20	32	0	25	56	9	1	
62	14.06.2019 04:35	171	3	39	27	0	25	56	9	1	
63	14.06.2019 05:35	122	2	14	33	0	25	56	9	1	
64	14.06.2019 06:35	125	1	21	27	0	25	56	9	1	
