,Q_1,Q_2,Q_3,Q_4
"(MDC, PCE, TCE, TMH)",(4+/-4)e+02,(0.1+/-2.4)e+02,(1.7+/-1.8)e+02,(-1+/-6)e+02
"(MDC, MCH, TCE, TMH)",(4+/-4)e+02,(0.3+/-1.9)e+02,(1.7+/-1.8)e+02,(-1+/-6)e+02
