,Q_1,Q_2,Q_3,Q_4
"(MDC, PCE, TCE, TMH)",(4.4+/-2.5)e+02,(-0.3+/-1.0)e+02,(4+/-9)e+01,(-2+/-4)e+02
"(MDC, MCH, TCE, TMH)",(4.5+/-2.4)e+02,(-0.9+/-1.0)e+02,(4+/-8)e+01,(-1.5+/-3.5)e+02
