,Q_0,Q_1,Q_2
"(TMH, MDC, PCE)",(3.4+/-0.9)e+02,(2.4+/-0.4)e+02,18+/-6
"(TMH, MDC, PCH)",(3.2+/-0.9)e+02,(2.3+/-0.4)e+02,63+/-24
"(TMH, MCH, PCE)",(3.5+/-0.9)e+02,(2.0+/-0.4)e+02,19+/-6
"(TMH, MCH, PCH)",(3.3+/-0.9)e+02,192+/-35,70+/-24
"(TCE, MDC, PCE)",111+/-28,(2.5+/-0.4)e+02,17+/-6
"(TCE, MDC, PCH)",108+/-28,(2.4+/-0.4)e+02,62+/-23
"(TCE, MCH, PCE)",115+/-26,208+/-35,19+/-6
"(TCE, MCH, PCH)",111+/-27,203+/-35,70+/-23
