ozn;R;uR
R12;20,12833021;35,03387886
R13;6,78902679;11,30433741
R14;95,15471545;34,40062286
R21;35,50286293;17,84008027
R23;11,74836872;4,37887403
R24;16,52185168;15,02318037
R31;61,13601175;25,60495342
R32;14,96476645;10,20761402
R34;45,49203081;23,75075659
R41;75,98214341;37,36207393
R42;5,74198028;26,36897777
R43;18,37915738;11,29776850
Re1;64,95364369;34,67127861
Re2;-16,13533827;7,24284377
Re3;-40,01800783;13,58128525
Re4;49,32175190;30,25625206
