ozn;R;uR
R12;12,21689703;4,88169021
R13;4,78305436;8,87939385
R14;96,02602922;35,89784254
R21;31,31672619;27,51338268
R23;17,93692072;7,89012384
R24;13,83379352;24,11033111
R31;63,38207565;25,96644955
R32;1,86908968;2,76415117
R34;46,93430343;24,32214472
R41;76,26005985;37,10295309
R42;4,12158833;4,06688485
R43;17,96830115;9,74216805
Re1;72,64283090;18,62381644
Re2;-39,85696780;15,32936631
Re3;-27,29021149;12,30231769
Re4;50,89662420;18,68889194
