záznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
1	10.05.2019 15:40	81	2	29	10	0	25	34	9	1	
2	10.05.2019 16:40	183	6	55	34	0	25	33	9	1	
3	10.05.2019 17:40	265	11	63	66	0	25	33	9	1	
4	10.05.2019 18:40	255	3	56	70	0	25	32	9	1	
5	10.05.2019 19:40	251	6	64	60	0	25	32	9	1	
6	10.05.2019 20:40	245	10	69	55	0	24	32	9	1	
7	10.05.2019 21:40	259	4	63	68	0	24	32	9	1	
8	10.05.2019 22:40	257	12	66	64	0	24	32	9	1	
9	10.05.2019 23:40	273	1	80	58	0	24	32	9	1	
10	11.05.2019 00:40	223	7	53	63	0	23	32	9	1	
11	11.05.2019 01:40	217	10	55	58	0	23	32	9	1	
12	11.05.2019 02:40	248	8	53	76	0	23	32	9	1	
13	11.05.2019 03:40	206	12	51	56	0	23	32	9	1	
14	11.05.2019 04:40	200	5	52	52	0	23	32	9	1	
15	11.05.2019 05:40	229	6	58	64	0	22	32	9	1	
16	11.05.2019 06:40	199	14	45	61	0	22	32	9	1	
17	11.05.2019 07:40	184	13	45	53	0	22	32	9	1	
18	11.05.2019 08:40	201	4	58	48	0	22	33	9	1	
19	11.05.2019 09:40	238	11	55	67	0	23	33	9	1	
20	11.05.2019 10:40	208	6	51	57	0	23	32	9	1	
21	11.05.2019 11:40	196	6	49	53	0	23	32	9	1	
22	11.05.2019 12:40	229	9	58	61	0	23	32	9	1	
23	11.05.2019 13:40	219	3	61	53	0	23	32	9	1	
24	11.05.2019 14:40	221	5	52	63	0	23	32	9	1	
25	11.05.2019 15:40	187	8	46	51	0	23	32	9	1	
26	11.05.2019 16:40	201	7	51	51	0	24	32	9	1	
27	11.05.2019 17:40	245	3	66	58	0	24	32	9	1	
28	11.05.2019 18:40	241	3	48	74	0	24	32	9	1	
29	11.05.2019 19:40	231	5	52	65	0	24	32	9	1	
30	11.05.2019 20:40	203	4	44	59	0	24	32	9	1	
31	11.05.2019 21:40	225	5	53	64	0	23	32	9	1	
32	11.05.2019 22:40	200	8	44	60	0	23	32	9	1	
33	11.05.2019 23:40	248	9	67	62	0	23	32	9	1	
34	12.05.2019 00:40	210	5	46	63	0	23	32	9	1	
35	12.05.2019 01:40	198	8	50	53	0	23	32	9	1	
36	12.05.2019 02:40	185	8	48	48	0	23	32	9	1	
37	12.05.2019 03:40	190	8	52	47	0	23	32	9	1	
38	12.05.2019 04:40	183	7	44	51	0	23	32	9	1	
39	12.05.2019 05:40	194	7	53	48	0	23	32	9	1	
40	12.05.2019 06:40	200	5	53	51	0	23	32	9	1	
41	12.05.2019 07:40	200	10	56	48	0	23	32	9	1	
42	12.05.2019 08:40	202	9	47	58	0	23	32	9	1	
43	12.05.2019 09:40	160	3	38	45	0	23	32	9	1	
44	12.05.2019 10:40	179	5	54	39	0	23	32	9	1	
45	12.05.2019 11:40	215	3	49	63	0	23	32	9	1	
46	12.05.2019 12:40	140	4	37	36	0	23	32	9	1	
47	12.05.2019 13:40	171	9	38	51	0	23	32	9	1	
48	12.05.2019 14:40	198	7	53	50	0	23	32	9	1	
49	12.05.2019 15:40	193	5	38	60	0	24	32	9	1	
