záznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
1	10.05.2019 15:40	207	45	80	12	0	24	32	8	1	
2	10.05.2019 16:40	310	63	85	51	0	25	31	8	1	
3	10.05.2019 17:40	454	58	119	80	0	25	31	8	1	
4	10.05.2019 18:40	416	47	117	68	0	25	30	8	1	
5	10.05.2019 19:40	429	64	106	85	0	25	30	8	1	
6	10.05.2019 20:40	456	64	121	87	0	24	30	7	1	
7	10.05.2019 21:40	405	52	110	75	0	24	30	8	1	
8	10.05.2019 22:40	438	60	109	88	0	24	31	8	1	
9	10.05.2019 23:40	434	64	119	76	0	24	31	8	1	
10	11.05.2019 00:40	488	65	138	87	0	23	31	8	1	
11	11.05.2019 01:40	410	50	101	88	0	23	31	8	1	
12	11.05.2019 02:40	418	46	117	76	0	23	31	8	1	
13	11.05.2019 03:40	410	58	97	92	0	23	31	8	1	
14	11.05.2019 04:40	407	44	121	72	0	22	31	8	1	
15	11.05.2019 05:40	386	55	110	73	0	22	31	8	1	
16	11.05.2019 06:40	398	42	117	69	0	22	32	8	1	
17	11.05.2019 07:40	401	30	97	90	0	22	32	8	1	
18	11.05.2019 08:40	405	56	124	65	0	22	32	8	1	
19	11.05.2019 09:40	437	55	121	78	0	23	32	8	1	
20	11.05.2019 10:40	376	50	95	76	0	23	32	8	1	
21	11.05.2019 11:40	396	60	113	67	0	23	32	8	1	
22	11.05.2019 12:40	407	65	109	76	0	23	32	8	1	
23	11.05.2019 13:40	416	62	116	76	0	23	31	8	1	
24	11.05.2019 14:40	368	46	92	78	0	23	31	8	1	
25	11.05.2019 15:40	381	53	99	77	0	23	31	8	1	
26	11.05.2019 16:40	385	41	103	70	0	24	31	8	1	
27	11.05.2019 17:40	345	50	86	69	0	24	31	8	1	
28	11.05.2019 18:40	449	54	122	80	0	24	31	8	1	
29	11.05.2019 19:40	367	56	97	68	0	24	31	8	1	
30	11.05.2019 20:40	364	47	91	77	0	23	31	8	1	
31	11.05.2019 21:40	349	49	101	60	0	23	31	8	1	
32	11.05.2019 22:40	351	41	96	66	0	23	31	8	1	
33	11.05.2019 23:40	410	59	106	83	0	23	31	8	1	
34	12.05.2019 00:40	338	60	89	67	0	23	31	8	1	
35	12.05.2019 01:40	368	46	103	67	0	23	31	8	1	
36	12.05.2019 02:40	377	39	103	71	0	23	31	8	1	
37	12.05.2019 03:40	379	49	106	69	0	23	31	8	1	
38	12.05.2019 04:40	420	43	109	85	0	23	31	8	1	
39	12.05.2019 05:40	388	35	104	75	0	23	31	8	1	
40	12.05.2019 06:40	349	57	93	68	0	23	31	8	1	
41	12.05.2019 07:40	331	51	97	56	0	23	31	8	1	
42	12.05.2019 08:40	336	58	98	57	0	23	31	8	1	
43	12.05.2019 09:40	340	42	97	60	0	23	31	8	1	
44	12.05.2019 10:40	405	45	118	69	0	23	31	8	1	
45	12.05.2019 11:40	349	57	87	74	0	23	31	8	1	
46	12.05.2019 12:40	370	44	99	72	0	23	31	7	1	
47	12.05.2019 13:40	340	45	75	82	0	23	31	8	1	
48	12.05.2019 14:40	375	51	103	70	0	23	31	8	1	
49	12.05.2019 15:40	309	40	84	55	0	24	31	8	1	
50	12.05.2019 16:40	351	39	91	67	0	24	31	8	1	
51	12.05.2019 17:40	342	57	86	68	0	24	31	8	1	
52	12.05.2019 18:40	322	64	91	54	0	24	31	8	1	
53	12.05.2019 19:40	371	44	106	61	0	24	31	7	1	
54	12.05.2019 20:40	382	41	105	67	0	24	31	8	1	
55	12.05.2019 21:40	366	37	91	78	0	23	31	8	1	
56	12.05.2019 22:40	299	45	83	55	0	23	31	8	1	
57	12.05.2019 23:40	318	60	92	55	0	23	31	8	1	
58	13.05.2019 00:40	334	47	90	64	0	23	31	8	1	
59	13.05.2019 01:40	342	40	96	62	0	23	31	8	1	
60	13.05.2019 02:40	308	34	79	63	0	23	31	8	1	
61	13.05.2019 03:40	355	36	93	71	0	23	31	8	1	
62	13.05.2019 04:40	323	40	99	50	0	23	31	8	1	
63	13.05.2019 05:40	323	41	92	57	0	23	31	8	1	
64	13.05.2019 06:40	383	45	98	79	0	23	31	8	1	
65	13.05.2019 07:40	327	39	95	56	0	23	31	8	1	
66	13.05.2019 08:40	351	47	91	71	0	23	31	8	1	
67	13.05.2019 09:40	282	53	79	51	0	23	31	8	1	
68	13.05.2019 10:40	316	48	90	56	0	23	31	8	1	
69	13.05.2019 11:40	312	37	86	58	0	23	31	8	1	
70	13.05.2019 12:40	277	53	77	51	0	23	31	8	1	
71	13.05.2019 13:40	311	32	80	60	0	24	31	8	1	
72	13.05.2019 14:40	307	48	93	45	0	24	31	8	1	
73	13.05.2019 15:40	252	45	63	54	0	24	29	8	1	
74	13.05.2019 16:40	136	34	33	31	0	24	28	8	1	
75	13.05.2019 17:40	108	44	42	10	0	24	27	8	1	
76	13.05.2019 18:40	94	33	41	5	0	24	26	8	1	
77	13.05.2019 19:40	65	38	30	3	0	23	25	8	1	
78	13.05.2019 20:40	70	29	33	3	0	23	25	8	1	
79	13.05.2019 21:40	75	33	37	2	0	23	24	8	1	
80	13.05.2019 22:40	67	43	34	1	0	23	24	8	1	
81	13.05.2019 23:40	77	36	38	2	0	23	24	8	1	
82	14.05.2019 00:40	67	48	34	1	0	23	24	8	1	
83	14.05.2019 01:40	61	40	32	0	0	23	24	8	1	
84	14.05.2019 02:40	71	42	35	2	0	23	24	8	1	
85	14.05.2019 03:40	79	42	38	3	0	23	24	8	1	
86	14.05.2019 04:40	65	22	29	5	0	23	24	8	1	
87	14.05.2019 05:40	61	40	28	4	0	23	24	8	1	
88	14.05.2019 06:40	70	39	32	5	0	23	23	8	1	
