záznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
1	10.05.2019 15:38	119	6	30	6	0	25	32	9	1	
2	10.05.2019 16:38	387	11	81	37	0	25	31	9	1	
3	10.05.2019 17:38	409	6	58	67	0	25	31	9	1	
4	10.05.2019 18:38	458	7	71	71	0	25	30	9	1	
5	10.05.2019 19:38	403	10	67	58	0	25	30	9	1	
6	10.05.2019 20:38	447	7	71	71	0	24	30	9	1	
7	10.05.2019 21:38	484	6	83	71	0	24	30	9	1	
8	10.05.2019 22:38	469	9	74	75	0	24	30	9	1	
9	10.05.2019 23:38	425	5	57	78	0	24	30	9	1	
10	11.05.2019 00:38	355	7	60	56	0	23	30	9	1	
11	11.05.2019 01:38	438	11	73	70	0	23	30	9	1	
12	11.05.2019 02:38	470	18	69	82	0	23	31	9	1	
13	11.05.2019 03:38	448	12	60	84	0	23	31	9	1	
14	11.05.2019 04:38	417	7	70	64	0	23	31	9	1	
15	11.05.2019 05:38	429	8	63	75	0	23	31	9	1	
16	11.05.2019 06:38	400	9	65	67	0	22	31	9	1	
17	11.05.2019 07:38	398	21	67	61	0	23	31	9	1	
18	11.05.2019 08:38	442	8	64	78	1	23	31	9	1	
19	11.05.2019 09:38	376	5	69	52	0	23	31	9	1	
20	11.05.2019 10:38	426	2	50	87	0	23	31	9	1	
21	11.05.2019 11:38	345	11	51	60	0	23	31	9	1	
22	11.05.2019 12:38	361	14	53	63	0	23	31	9	1	
23	11.05.2019 13:38	345	5	58	53	0	23	31	9	1	
24	11.05.2019 14:38	426	7	61	76	0	23	31	9	1	
25	11.05.2019 15:38	409	6	63	65	0	24	31	9	1	
26	11.05.2019 16:38	346	8	48	62	0	24	30	9	1	
27	11.05.2019 17:38	415	8	71	61	0	24	30	9	1	
28	11.05.2019 18:38	352	7	45	67	0	24	30	9	1	
29	11.05.2019 19:38	368	5	55	62	0	24	30	9	1	
30	11.05.2019 20:38	336	11	53	54	0	24	30	9	1	
31	11.05.2019 21:38	371	9	52	66	0	24	30	9	1	
32	11.05.2019 22:38	309	6	47	54	0	23	30	9	1	
33	11.05.2019 23:38	349	5	55	59	0	23	30	9	1	
34	12.05.2019 00:38	352	14	58	57	0	23	30	9	1	
35	12.05.2019 01:38	355	11	59	57	0	23	30	9	1	
36	12.05.2019 02:38	337	14	45	65	0	23	30	9	1	
37	12.05.2019 03:38	340	13	54	57	0	23	30	9	1	
38	12.05.2019 04:38	343	6	59	53	0	23	30	9	1	
39	12.05.2019 05:38	340	14	49	62	0	23	30	9	1	
40	12.05.2019 06:38	383	6	55	70	0	23	30	9	1	
41	12.05.2019 07:38	359	7	58	59	0	23	30	9	1	
42	12.05.2019 08:38	365	6	62	57	0	23	30	9	1	
43	12.05.2019 09:38	325	7	54	52	0	23	30	9	1	
44	12.05.2019 10:38	322	3	49	56	0	23	30	9	1	
45	12.05.2019 11:38	319	6	54	50	0	23	30	9	1	
46	12.05.2019 12:38	328	7	57	50	0	23	30	9	1	
47	12.05.2019 13:38	349	11	68	46	0	23	30	9	1	
48	12.05.2019 14:38	371	9	48	70	0	24	30	9	1	
49	12.05.2019 15:38	355	10	61	52	0	24	30	9	1	
50	12.05.2019 16:38	302	4	49	47	0	24	30	9	1	
51	12.05.2019 17:38	327	3	45	59	0	24	30	9	1	
52	12.05.2019 18:38	318	6	45	56	0	24	30	9	1	
53	12.05.2019 19:38	333	4	50	56	0	24	30	9	1	
54	12.05.2019 20:38	299	6	44	51	0	24	30	9	1	
55	12.05.2019 21:38	355	7	49	64	0	24	30	9	1	
56	12.05.2019 22:38	311	9	42	57	0	24	30	9	1	
57	12.05.2019 23:38	368	8	59	61	0	23	30	9	1	
58	13.05.2019 00:38	337	7	54	56	0	23	30	9	1	
59	13.05.2019 01:38	349	9	50	64	0	23	30	9	1	
60	13.05.2019 02:38	300	8	49	49	0	23	30	9	1	
61	13.05.2019 03:38	276	6	48	42	0	23	30	9	1	
62	13.05.2019 04:38	266	3	43	44	0	23	30	9	1	
63	13.05.2019 05:38	279	6	38	53	0	23	30	9	1	
64	13.05.2019 06:38	352	7	58	57	0	23	30	9	1	
65	13.05.2019 07:38	282	7	43	49	0	23	30	9	1	
66	13.05.2019 08:38	254	7	45	38	0	23	30	9	1	
67	13.05.2019 09:38	263	9	44	42	0	23	30	9	1	
68	13.05.2019 10:38	251	14	35	47	0	23	30	9	1	
69	13.05.2019 11:38	294	6	46	50	0	23	30	9	1	
70	13.05.2019 12:38	254	3	36	47	0	23	30	9	1	
71	13.05.2019 13:38	267	3	43	42	0	24	30	9	1	
72	13.05.2019 14:38	299	3	55	40	0	24	30	9	1	
73	13.05.2019 15:38	260	2	34	50	0	24	29	9	1	
74	13.05.2019 16:38	87	5	2	27	0	24	27	9	1	
75	13.05.2019 17:38	47	1	4	12	0	24	26	9	1	
