plyn;jmeno;odpar;odpar_err;M_w;U_R
1;MCH;894,335683543965;8,94426238317421;350;8
2;MDC;1370,62471069503;13,7289531918972;400;8
3;PCH;1191,09298774049;11,9170742855996;450;8
