ozn;R;uR;rel.chyba
Re1;90,66   ;17,271  ;19,0502  
Re2;134,7399;32,6844 ;24,2574  
Re3;533,815 ;128,3527;24,0444  
R21;41,477  ;12,4946 ;30,1243  
R31;54,3196 ;22,0053 ;40,5108  
R12;9,2902  ;3,2636  ;35,1291  
R32;58,7309 ;25,3827 ;43,2187  
R13;6,8074  ;3,8804  ;57,0032  
R23;30,105  ;13,9225 ;46,2465  
n  ;2,3433  ;0,4039  ;17,2385  
