record	time	radon[Bq/m3]	sum1	sum2	sum3	sum4	temperature[°C]	humidity[%]	HV	algorithm
567	27.05.2019 17:27	606	15	133	129	0	16	61	9	1
566	27.05.2019 18:27	732	10	159	157	0	16	61	9	1
565	27.05.2019 19:27	748	11	167	156	0	16	61	9	1
564	27.05.2019 20:27	873	11	198	179	0	16	61	9	1
563	27.05.2019 21:27	928	16	195	203	0	16	62	9	1
562	27.05.2019 22:27	949	22	188	219	0	16	62	9	1
561	27.05.2019 23:27	805	14	141	204	0	16	62	9	1
560	28.05.2019 0:27	802	11	167	177	0	16	62	9	1
559	28.05.2019 1:27	784	14	169	167	0	16	62	9	1
558	28.05.2019 2:27	869	17	193	177	0	16	63	9	1
557	28.05.2019 3:27	804	17	161	181	0	16	63	9	1
556	28.05.2019 4:27	804	18	158	184	0	16	63	9	1
555	28.05.2019 5:27	825	12	169	182	0	16	63	9	1
554	28.05.2019 6:27	909	15	172	215	0	16	63	9	1
553	28.05.2019 7:27	824	15	170	178	0	16	64	9	1
552	28.05.2019 8:27	686	11	110	178	0	16	65	9	1
551	28.05.2019 9:27	517	3	74	143	0	16	65	9	1
550	28.05.2019 10:27	333	4	54	85	0	16	66	9	1
549	28.05.2019 11:27	319	4	52	81	0	16	66	9	1
548	28.05.2019 12:27	357	5	64	85	0	16	66	9	1
547	28.05.2019 13:27	381	5	99	60	0	16	66	9	1
546	28.05.2019 14:27	511	10	107	106	0	16	66	9	1
545	28.05.2019 15:27	394	9	67	96	0	16	67	9	1
544	28.05.2019 16:27	336	0	60	79	0	16	67	9	1
543	28.05.2019 17:27	278	2	48	67	0	16	67	9	1
542	28.05.2019 18:27	230	4	50	48	0	15	67	9	1
541	28.05.2019 19:27	167	2	30	41	0	15	67	9	1
540	28.05.2019 20:27	143	2	26	35	0	15	67	9	1
539	28.05.2019 21:27	165	2	39	32	0	15	66	9	1
538	28.05.2019 22:27	128	0	28	27	0	15	66	9	1
537	28.05.2019 23:27	95	1	19	22	0	15	66	9	1
536	29.05.2019 0:27	115	0	29	22	0	14	66	9	1
535	29.05.2019 1:27	134	1	30	29	0	14	66	9	1
534	29.05.2019 2:27	84	2	17	20	0	14	66	9	1
533	29.05.2019 3:27	118	3	24	28	0	14	67	9	1
532	29.05.2019 4:27	114	0	22	28	0	14	67	9	1
531	29.05.2019 5:27	121	0	26	27	0	14	67	9	1
530	29.05.2019 6:27	112	1	26	23	0	14	67	9	1
529	29.05.2019 7:27	93	2	19	22	0	14	67	9	1
528	29.05.2019 8:27	89	2	17	22	0	14	67	9	1
527	29.05.2019 9:27	57	1	9	16	0	14	67	9	1
526	29.05.2019 10:27	82	3	16	20	0	14	67	9	1
525	29.05.2019 11:27	57	2	12	14	0	13	67	9	1
524	29.05.2019 12:27	86	3	24	15	0	13	67	9	1
523	29.05.2019 13:27	93	4	18	24	0	13	67	9	1
522	29.05.2019 14:27	77	2	14	21	0	13	66	9	1
521	29.05.2019 15:27	79	3	21	15	0	13	66	9	1
520	29.05.2019 16:27	72	1	17	16	0	13	65	9	1
519	29.05.2019 17:27	85	2	18	21	0	13	65	9	1
518	29.05.2019 18:27	87	1	18	22	0	13	65	9	1
517	29.05.2019 19:27	107	2	29	20	0	13	65	9	1
516	29.05.2019 20:27	97	1	22	23	0	13	64	9	1
515	29.05.2019 21:27	106	4	23	26	0	13	64	9	1
514	29.05.2019 22:27	152	5	36	34	0	13	64	9	1
513	29.05.2019 23:27	119	5	25	30	0	13	64	9	1
512	30.05.2019 0:27	111	4	28	23	0	13	64	9	1
511	30.05.2019 1:27	123	3	24	33	0	13	63	9	1
510	30.05.2019 2:27	138	0	34	30	0	13	63	9	1
509	30.05.2019 3:27	142	0	33	33	0	13	63	9	1
508	30.05.2019 4:27	113	1	24	29	0	13	62	9	1
507	30.05.2019 5:27	113	3	21	32	0	13	62	9	1
506	30.05.2019 6:27	110	3	25	27	0	13	61	9	1
505	30.05.2019 7:27	119	1	24	32	0	13	61	9	1
504	30.05.2019 8:27	68	1	8	24	0	13	61	9	1
503	30.05.2019 9:27	107	1	29	22	0	13	60	9	1
502	30.05.2019 10:27	107	4	28	23	0	13	60	9	1
501	30.05.2019 11:27	124	1	35	24	0	13	60	9	1
500	30.05.2019 12:27	134	2	28	36	0	13	59	9	1
499	30.05.2019 13:27	174	2	46	37	0	13	59	9	1
498	30.05.2019 14:27	209	2	62	36	0	14	58	9	1
497	30.05.2019 15:27	336	6	83	74	0	14	58	9	1
496	30.05.2019 16:27	374	6	102	73	0	14	58	9	1
495	30.05.2019 17:27	432	11	103	99	0	14	58	9	1
