record	time	radon[Bq/m3]	sum1	sum2	sum3	sum4	temperature[°C]	humidity[%]	HV	algorithm
226	11.06.2019 0:28	104	0	12	28	0	24	50	9	1
225	11.06.2019 1:28	54	0	11	10	0	24	50	9	1
224	11.06.2019 2:28	83	1	15	17	0	24	50	9	1
223	11.06.2019 3:28	100	0	17	21	0	24	51	9	1
222	11.06.2019 4:28	47	1	5	13	0	24	51	9	1
221	11.06.2019 5:28	60	0	7	16	0	24	51	9	1
220	11.06.2019 6:28	34	0	6	7	0	24	52	9	1
219	11.06.2019 7:28	34	2	6	7	0	24	52	9	1
218	11.06.2019 8:28	35	1	5	8	0	25	52	9	1
217	11.06.2019 9:28	30	0	3	8	0	25	53	9	1
216	11.06.2019 10:28	32	3	5	7	0	25	53	9	1
215	11.06.2019 11:28	85	0	17	14	0	25	53	9	1
214	11.06.2019 12:28	73	1	16	11	0	25	52	9	1
213	11.06.2019 13:28	119	3	26	18	0	25	52	9	1
212	11.06.2019 14:28	119	1	19	25	0	25	52	9	1
211	11.06.2019 15:28	96	2	20	15	0	26	51	9	1
210	11.06.2019 16:28	124	5	22	23	0	26	51	9	1
209	11.06.2019 17:28	102	6	24	13	0	26	51	9	1
208	11.06.2019 18:28	132	1	20	28	0	26	51	9	1
207	11.06.2019 19:28	124	1	24	21	0	26	51	9	1
206	11.06.2019 20:28	155	3	20	38	0	25	50	9	1
205	11.06.2019 21:28	133	3	21	29	0	25	50	9	1
204	11.06.2019 22:28	110	0	25	16	0	25	51	9	1
203	11.06.2019 23:28	127	0	24	23	0	25	51	9	1
202	12.06.2019 0:28	118	3	22	22	0	25	51	9	1
201	12.06.2019 1:28	84	0	9	22	0	25	52	9	1
200	12.06.2019 2:28	95	2	12	23	0	25	52	9	1
199	12.06.2019 3:28	49	2	7	11	0	25	52	9	1
198	12.06.2019 4:28	49	1	12	6	0	25	52	9	1
197	12.06.2019 5:28	89	2	18	15	0	25	52	9	1
196	12.06.2019 6:28	87	0	9	23	0	25	52	9	1
195	12.06.2019 7:28	46	1	6	11	0	25	52	9	1
194	12.06.2019 8:28	59	3	10	12	0	25	52	9	1
193	12.06.2019 9:28	54	0	11	9	0	25	52	9	1
192	12.06.2019 10:28	72	0	19	8	0	25	51	9	1
191	12.06.2019 11:28	72	2	11	16	0	25	51	9	1
190	12.06.2019 12:28	64	0	10	14	0	25	51	9	1
189	12.06.2019 13:28	74	2	13	14	0	26	50	9	1
188	12.06.2019 14:28	71	1	11	15	0	26	50	9	1
187	12.06.2019 15:28	97	1	22	14	0	26	49	9	1
186	12.06.2019 16:28	70	0	13	13	0	26	49	9	1
185	12.06.2019 17:28	114	2	22	20	0	26	49	9	1
184	12.06.2019 18:28	106	0	15	24	0	26	49	9	1
183	12.06.2019 19:28	100	3	19	18	0	26	49	9	1
182	12.06.2019 20:28	155	1	28	29	0	26	49	9	1
181	12.06.2019 21:28	136	5	25	25	0	26	49	9	1
180	12.06.2019 22:28	175	3	45	19	0	26	50	9	1
179	12.06.2019 23:28	222	1	32	49	0	26	50	9	1
178	13.06.2019 0:28	227	1	43	40	0	26	50	9	1
177	13.06.2019 1:28	233	3	38	47	0	26	50	9	1
176	13.06.2019 2:28	241	4	50	38	0	26	50	9	1
175	13.06.2019 3:28	252	1	38	54	0	26	50	9	1
174	13.06.2019 4:28	299	1	59	50	0	26	50	9	1
173	13.06.2019 5:28	301	3	52	58	0	26	50	9	1
172	13.06.2019 6:28	246	4	45	45	0	26	50	9	1
171	13.06.2019 7:28	242	2	45	44	0	26	49	9	1
170	13.06.2019 8:28	157	1	27	31	0	26	49	9	1
169	13.06.2019 9:28	185	2	37	31	0	26	49	9	1
168	13.06.2019 10:28	164	5	30	31	0	26	48	9	1
167	13.06.2019 11:28	178	8	22	44	0	26	48	9	1
166	13.06.2019 12:28	151	0	31	25	0	26	48	9	1
165	13.06.2019 13:28	168	1	27	36	0	26	47	9	1
164	13.06.2019 14:28	248	1	46	47	0	26	47	9	1
163	13.06.2019 15:28	235	6	39	49	0	26	47	9	1
162	13.06.2019 16:28	205	2	38	39	0	26	47	9	1
161	13.06.2019 17:28	240	2	45	45	0	26	47	9	1
160	13.06.2019 18:28	216	0	40	41	0	26	47	9	1
159	13.06.2019 19:28	240	5	50	39	0	26	48	9	1
158	13.06.2019 20:28	256	3	40	55	0	26	48	9	1
157	13.06.2019 21:28	231	1	31	55	0	26	48	9	1
156	13.06.2019 22:28	179	4	29	37	0	26	49	9	1
155	13.06.2019 23:28	198	1	31	42	0	26	49	9	1
154	14.06.2019 0:28	193	2	36	35	0	26	49	9	1
153	14.06.2019 1:28	164	1	25	35	0	26	50	9	1
152	14.06.2019 2:28	153	2	25	31	0	26	50	9	1
151	14.06.2019 3:28	153	0	28	28	0	26	50	9	1
150	14.06.2019 4:28	164	5	24	36	0	26	50	9	1
149	14.06.2019 5:28	192	6	38	32	0	26	50	9	1
148	14.06.2019 6:28	175	4	35	29	0	26	50	9	1
147	14.06.2019 7:28	246	2	50	40	0	26	50	9	1
146	14.06.2019 8:28	203	6	36	38	0	26	50	9	1
145	14.06.2019 9:28	238	4	35	52	0	26	50	9	1
144	14.06.2019 10:28	241	2	44	44	0	26	50	9	1
143	14.06.2019 11:28	236	3	38	48	0	26	50	9	1
142	14.06.2019 12:28	228	3	36	48	0	26	49	9	1
141	14.06.2019 13:28	223	5	33	49	0	26	49	9	1
140	14.06.2019 14:28	204	2	41	34	0	26	49	9	1
139	14.06.2019 15:28	242	3	40	47	0	27	49	9	1
138	14.06.2019 16:28	189	9	27	41	0	27	49	9	1
137	14.06.2019 17:28	217	5	44	34	0	27	49	9	1
136	14.06.2019 18:28	284	2	42	60	0	27	49	9	1
135	14.06.2019 19:28	239	8	43	45	0	26	49	9	1
134	14.06.2019 20:28	247	2	44	47	0	26	49	9	1
133	14.06.2019 21:28	293	5	59	49	0	26	49	9	1
132	14.06.2019 22:28	269	4	43	56	0	26	49	9	1
131	14.06.2019 23:28	244	1	39	50	0	26	50	9	1
130	15.06.2019 0:28	178	2	20	45	0	26	50	9	1
129	15.06.2019 1:28	152	3	16	39	0	26	51	9	1
128	15.06.2019 2:28	118	2	14	29	0	26	51	9	1
127	15.06.2019 3:28	83	2	15	15	0	26	51	9	1
126	15.06.2019 4:28	77	1	7	21	0	26	51	9	1
125	15.06.2019 5:28	63	2	10	13	0	26	51	9	1
124	15.06.2019 6:28	38	1	7	7	0	26	51	9	1
123	15.06.2019 7:28	38	2	8	6	0	26	51	9	1
122	15.06.2019 8:28	60	2	11	11	0	26	51	9	1
121	15.06.2019 9:28	101	1	21	15	0	27	50	9	1
120	15.06.2019 10:28	151	2	34	20	0	27	50	9	1
119	15.06.2019 11:28	195	2	38	31	0	27	51	9	1
118	15.06.2019 12:28	215	3	41	35	0	27	51	9	1
117	15.06.2019 13:28	229	3	39	42	0	27	51	9	1
116	15.06.2019 14:28	280	3	59	41	0	27	50	9	1
115	15.06.2019 15:28	294	5	45	60	0	27	50	9	1
114	15.06.2019 16:28	252	3	39	51	0	27	50	9	1
113	15.06.2019 17:28	238	2	32	53	1	27	50	9	1
112	15.06.2019 18:28	233	3	32	51	0	27	50	9	1
111	15.06.2019 19:28	159	2	24	34	0	26	50	9	1
110	15.06.2019 20:28	148	4	22	32	0	26	50	9	1
109	15.06.2019 21:28	189	3	39	30	0	26	50	9	1
108	15.06.2019 22:28	167	1	35	26	0	26	50	9	1
107	15.06.2019 23:28	175	4	25	39	0	26	50	9	1
106	16.06.2019 0:28	216	1	50	29	0	26	50	9	1
105	16.06.2019 1:28	211	4	42	35	0	26	50	9	1
104	16.06.2019 2:28	167	2	21	40	0	26	50	9	1
103	16.06.2019 3:28	186	2	25	43	0	26	50	9	1
102	16.06.2019 4:28	145	2	24	29	0	26	50	9	1
101	16.06.2019 5:28	175	1	29	35	0	26	50	9	1
100	16.06.2019 6:28	192	1	34	36	0	26	50	9	1
99	16.06.2019 7:28	178	6	30	35	0	26	50	9	1
98	16.06.2019 8:28	178	3	29	36	0	26	50	9	1
97	16.06.2019 9:28	142	0	25	27	0	26	50	9	1
96	16.06.2019 10:28	148	3	35	19	0	26	50	9	1
95	16.06.2019 11:28	139	7	21	30	0	26	50	9	1
94	16.06.2019 12:28	170	2	25	37	0	26	50	9	1
93	16.06.2019 13:28	144	1	28	25	0	26	49	9	1
92	16.06.2019 14:28	136	1	23	27	0	26	49	9	1
91	16.06.2019 15:28	137	2	28	23	0	26	48	9	1
90	16.06.2019 16:28	156	4	26	32	0	26	48	9	1
89	16.06.2019 17:28	126	6	22	25	0	26	48	9	1
88	16.06.2019 18:28	138	1	26	26	0	26	47	9	1
87	16.06.2019 19:28	130	3	17	32	0	26	47	9	1
86	16.06.2019 20:28	141	4	20	33	0	26	47	9	1
85	16.06.2019 21:28	120	5	26	19	0	26	47	9	1
84	16.06.2019 22:28	144	2	27	27	0	26	47	9	1
83	16.06.2019 23:28	138	4	28	24	0	26	47	9	1
82	17.06.2019 0:28	136	2	25	26	0	26	47	9	1
81	17.06.2019 1:28	187	2	36	34	0	26	47	9	1
80	17.06.2019 2:28	147	2	27	28	0	26	47	9	1
79	17.06.2019 3:28	168	0	28	35	0	26	47	9	1
78	17.06.2019 4:28	165	5	32	30	0	26	47	9	1
77	17.06.2019 5:28	187	3	36	34	0	26	47	9	1
76	17.06.2019 6:28	168	3	28	35	0	26	47	9	1
75	17.06.2019 7:28	200	3	41	34	0	26	47	9	1
74	17.06.2019 8:28	200	7	41	34	0	26	47	9	1
73	17.06.2019 9:28	286	2	53	54	0	26	47	9	1
72	17.06.2019 10:28	243	4	40	51	0	26	47	9	1
71	17.06.2019 11:28	217	3	36	46	0	26	46	9	1
70	17.06.2019 12:28	195	0	28	46	0	26	46	9	1
69	17.06.2019 13:28	164	1	24	38	0	26	46	9	1
68	17.06.2019 14:28	150	2	29	28	0	26	46	9	1
67	17.06.2019 15:28	165	3	33	30	0	26	45	9	1
66	17.06.2019 16:28	167	5	26	38	0	26	45	9	1
65	17.06.2019 17:28	152	4	26	32	0	26	45	9	1
64	17.06.2019 18:28	191	3	31	42	0	26	45	9	1
63	17.06.2019 19:28	186	4	36	35	0	26	45	9	1
62	17.06.2019 20:28	157	1	35	25	0	26	45	9	1
61	17.06.2019 21:28	154	4	30	29	0	26	45	9	1
60	17.06.2019 22:28	153	4	26	34	0	25	45	9	1
59	17.06.2019 23:28	191	0	35	40	0	25	45	9	1
58	18.06.2019 0:28	214	4	37	47	0	25	45	9	1
57	18.06.2019 1:28	189	10	43	31	0	25	45	9	1
56	18.06.2019 2:28	183	3	39	32	0	25	46	9	1
55	18.06.2019 3:28	183	3	33	38	0	25	46	9	1
54	18.06.2019 4:28	206	7	38	42	0	25	46	9	1
53	18.06.2019 5:28	193	2	34	41	0	25	46	9	1
52	18.06.2019 6:28	196	3	28	48	0	25	46	9	1
51	18.06.2019 7:28	191	3	35	39	0	25	46	9	1
50	18.06.2019 8:28	255	2	43	56	0	25	46	9	1
49	18.06.2019 9:28	183	2	26	45	0	25	46	9	1
48	18.06.2019 10:28	161	4	31	32	0	25	45	9	1
47	18.06.2019 11:28	153	5	31	29	0	25	45	9	1
46	18.06.2019 12:28	168	3	31	35	0	25	45	9	1
45	18.06.2019 13:28	167	2	34	30	0	26	45	9	1
44	18.06.2019 14:28	146	3	30	26	0	26	45	9	1
43	18.06.2019 15:28	160	5	31	30	0	26	45	9	1
42	18.06.2019 16:28	186	1	30	41	0	26	45	9	1
41	18.06.2019 17:28	165	2	39	24	0	26	45	9	1
40	18.06.2019 18:28	246	2	50	45	0	26	44	9	1
39	18.06.2019 19:28	181	2	29	41	0	26	44	9	1
38	18.06.2019 20:28	212	0	35	47	0	26	44	9	1
37	18.06.2019 21:28	174	1	32	35	0	26	44	9	1
36	18.06.2019 22:28	157	1	34	28	0	25	44	9	1
35	18.06.2019 23:28	156	1	25	36	0	25	45	9	1
34	19.06.2019 0:28	133	3	23	29	0	25	45	9	1
33	19.06.2019 1:28	115	2	23	22	0	25	45	9	1
32	19.06.2019 2:28	174	3	35	33	0	25	45	9	1
31	19.06.2019 3:28	145	2	30	27	0	25	45	9	1
30	19.06.2019 4:28	150	2	28	31	0	25	45	9	1
29	19.06.2019 5:28	204	4	37	43	0	25	45	9	1
28	19.06.2019 6:28	155	1	23	37	0	25	46	9	1
27	19.06.2019 7:28	211	3	37	45	0	25	46	9	1
26	19.06.2019 8:28	238	1	40	50	0	26	46	9	1
25	19.06.2019 9:28	254	4	51	45	0	26	46	9	1
24	19.06.2019 10:28	214	2	33	48	0	26	46	9	1
23	19.06.2019 11:28	157	4	22	37	0	26	47	9	1
22	19.06.2019 12:28	112	4	15	27	0	26	47	9	1
21	19.06.2019 13:28	77	1	13	16	0	26	47	9	1
20	19.06.2019 14:28	85	2	18	14	0	26	47	9	1
19	19.06.2019 15:28	108	2	22	19	0	26	46	9	1
18	19.06.2019 16:28	113	2	31	12	0	26	46	9	1
17	19.06.2019 17:28	198	1	42	33	0	26	46	9	1
16	19.06.2019 18:28	185	4	33	37	0	26	46	9	1
15	19.06.2019 19:28	177	6	36	31	0	26	46	9	1
14	19.06.2019 20:28	145	1	22	33	0	26	46	9	1
13	19.06.2019 21:28	148	1	24	32	0	26	46	9	1
12	19.06.2019 22:28	181	3	33	35	0	26	47	9	1
11	19.06.2019 23:28	168	1	29	34	0	26	47	9	1
10	20.06.2019 0:28	160	10	37	23	0	26	47	9	1
9	20.06.2019 1:28	189	2	39	32	0	26	47	9	1
8	20.06.2019 2:28	200	3	36	39	0	26	47	9	1
7	20.06.2019 3:28	184	0	35	34	0	26	47	9	1
6	20.06.2019 4:28	165	1	27	35	0	26	47	9	1
5	20.06.2019 5:28	197	2	37	37	0	26	47	9	1
4	20.06.2019 6:28	208	2	47	31	0	26	47	9	1
3	20.06.2019 7:28	216	6	35	46	0	26	47	9	1
2	20.06.2019 8:28	227	1	43	42	0	26	47	9	1
1	20.06.2019 9:28	186	0	30	41	0	26	45	9	1
