zona;plyn;jmeno;R_d;R_d_err;p;T;odpary
1;2;MCH;36,02102;2,31666503013385;100000;12,22;0
1;3;PCH;20,6886608;2,36039463525994;100000;12,22;0
1;1;TCE;191,84127;14,526224938802;100000;12,22;193,552432841535

2;2;MCH;395,78351;16,5724806337104;100000;20,12;472,266684799782
2;3;PCH;26,919555;0,67267067555089;100000;20,12;0
2;1;TCE;32,2412833333333;1,42186474314472;100000;20,12;0

3;2;MCH;50,84834;2,28823048686246;100000;17,57;0
3;3;PCH;182,15887;4,55468221676944;100000;17,57;230,880989782151
3;1;TCE;24,9764225;1,2496233714598;100000;17,57;0
