DATA FILE;C:\Program Files\CRA\data\Akce HuSk_ No.1_ 2019.cor
START TIME;DATA_TAG_VAR5_TIMEFORMAT EN
END TIME;DATA_TAG_VAR5_TIMEFORMAT EN;(984 hours)
PLOT TYPE;TEMPORAL;(One data point per 2 hours - time stamp is in the middle of the 2-hour interval)
AVERAGING POINTS;3
TIMESTAMP (column A) is in units of:;ABSOLUTE TIME;(YYYY-MM-DD hh:mm)
TIME (column B) is in units of:;HOURS;(Since the 'Start time')
RADON CONCENTRATION (column C) is in units of:; Bq/m3
WEIGHTING (column D) is in units of:;HOURS;(amount of hours of data for the corresponding radon conc. value in column C)
;
TIMESTAMP;TIME;RADON CONCENTRATION;WEIGHTING
DATA_TAG_VAR5_TIMEFORMAT EN;162,0;148;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;164,0;123;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;166,0;23;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;168,0;27;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;170,0;95;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;172,0;101;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;174,0;135;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;176,0;155;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;178,0;192;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;180,0;155;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;182,0;151;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;184,0;78;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;186,0;132;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;188,0;55;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;190,0;140;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;192,0;192;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;194,0;160;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;196,0;242;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;198,0;252;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;200,0;478;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;202,0;359;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;204,0;263;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;206,0;140;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;208,0;142;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;210,0;223;6,00
DATA_TAG_VAR5_TIMEFORMAT EN;212,0;210;6,00
