id;Datum/Čas;Teplota[°C];Vlhkost[%rv]
1;23.5.2019 11:41:00;17,90;50,10
2;23.5.2019 12:11:00;15,20;57,20
3;23.5.2019 12:41:00;11,80;69,80
4;23.5.2019 13:11:00;11,30;71,60
5;23.5.2019 13:41:00;11,10;72,10
6;23.5.2019 14:11:00;10,90;72,50
7;23.5.2019 14:41:00;10,90;73,10
8;23.5.2019 15:11:00;10,80;73,20
9;23.5.2019 15:41:00;10,80;73,30
10;23.5.2019 16:11:00;10,80;72,90
11;23.5.2019 16:41:00;10,80;73,00
12;23.5.2019 17:11:00;10,80;73,30
13;23.5.2019 17:41:00;10,80;74,10
14;23.5.2019 18:11:00;10,80;74,50
15;23.5.2019 18:41:00;10,90;75,00
16;23.5.2019 19:11:00;10,90;75,60
17;23.5.2019 19:41:00;10,90;76,10
18;23.5.2019 20:11:00;10,90;76,50
19;23.5.2019 20:41:00;10,90;76,80
20;23.5.2019 21:11:00;10,90;77,30
21;23.5.2019 21:41:00;10,90;77,30
22;23.5.2019 22:11:00;10,90;77,10
23;23.5.2019 22:41:00;10,80;77,10
24;23.5.2019 23:11:00;10,80;77,10
25;23.5.2019 23:41:00;10,80;77,00
26;24.5.2019 0:11:00;10,70;77,20
27;24.5.2019 0:41:00;10,70;77,20
28;24.5.2019 1:11:00;10,70;77,20
29;24.5.2019 1:41:00;10,60;77,20
30;24.5.2019 2:11:00;10,60;77,20
31;24.5.2019 2:41:00;10,60;77,10
32;24.5.2019 3:11:00;10,60;77,10
33;24.5.2019 3:41:00;10,50;77,10
34;24.5.2019 4:11:00;10,50;77,00
35;24.5.2019 4:41:00;10,50;77,10
36;24.5.2019 5:11:00;10,50;77,00
37;24.5.2019 5:41:00;10,40;76,90
38;24.5.2019 6:11:00;10,40;77,00
39;24.5.2019 6:41:00;10,50;77,20
40;24.5.2019 7:11:00;10,50;77,30
41;24.5.2019 7:41:00;10,50;77,60
42;24.5.2019 8:11:00;10,60;78,00
43;24.5.2019 8:41:00;10,70;78,20
44;24.5.2019 9:11:00;10,70;78,30
45;24.5.2019 9:41:00;10,70;76,50
46;24.5.2019 10:11:00;10,70;76,10
47;24.5.2019 10:41:00;10,70;75,70
48;24.5.2019 11:11:00;10,70;75,80
49;24.5.2019 11:41:00;10,80;76,20
50;24.5.2019 12:11:00;10,80;76,50
51;24.5.2019 12:41:00;10,80;76,70
52;24.5.2019 13:11:00;10,80;76,90
53;24.5.2019 13:41:00;10,90;76,90
54;24.5.2019 14:11:00;10,90;76,80
55;24.5.2019 14:41:00;10,90;76,70
56;24.5.2019 15:11:00;10,90;76,80
57;24.5.2019 15:41:00;10,90;76,90
58;24.5.2019 16:11:00;10,90;77,00
59;24.5.2019 16:41:00;10,90;76,90
60;24.5.2019 17:11:00;10,90;77,00
61;24.5.2019 17:41:00;10,90;77,10
62;24.5.2019 18:11:00;10,90;77,10
63;24.5.2019 18:41:00;10,90;77,30
64;24.5.2019 19:11:00;10,90;77,30
65;24.5.2019 19:41:00;10,90;77,40
66;24.5.2019 20:11:00;10,90;77,50
67;24.5.2019 20:41:00;10,90;77,70
68;24.5.2019 21:11:00;10,90;77,80
69;24.5.2019 21:41:00;10,90;78,00
70;24.5.2019 22:11:00;11,00;78,10
71;24.5.2019 22:41:00;10,90;78,00
72;24.5.2019 23:11:00;10,90;78,10
73;24.5.2019 23:41:00;10,90;78,20
74;25.5.2019 0:11:00;10,90;78,20
75;25.5.2019 0:41:00;10,90;78,20
76;25.5.2019 1:11:00;10,90;78,20
77;25.5.2019 1:41:00;10,80;78,20
78;25.5.2019 2:11:00;10,80;78,20
79;25.5.2019 2:41:00;10,80;78,30
80;25.5.2019 3:11:00;10,80;78,40
81;25.5.2019 3:41:00;10,80;78,40
82;25.5.2019 4:11:00;10,80;78,50
83;25.5.2019 4:41:00;10,80;78,60
84;25.5.2019 5:11:00;10,80;78,60
85;25.5.2019 5:41:00;10,80;78,80
86;25.5.2019 6:11:00;10,80;79,10
87;25.5.2019 6:41:00;10,90;79,70
88;25.5.2019 7:11:00;10,90;80,30
89;25.5.2019 7:41:00;11,00;80,70
90;25.5.2019 8:11:00;11,00;80,20
91;25.5.2019 8:41:00;11,00;79,90
92;25.5.2019 9:11:00;11,00;79,80
93;25.5.2019 9:41:00;11,10;79,70
94;25.5.2019 10:11:00;11,10;79,60
95;25.5.2019 10:41:00;11,10;79,50
96;25.5.2019 11:11:00;11,10;79,40
97;25.5.2019 11:41:00;11,10;79,40
98;25.5.2019 12:11:00;11,10;79,30
99;25.5.2019 12:41:00;11,10;79,30
100;25.5.2019 13:11:00;11,10;79,20
101;25.5.2019 13:41:00;11,10;79,10
102;25.5.2019 14:11:00;11,50;76,30
103;25.5.2019 14:41:00;11,60;76,90
104;25.5.2019 15:11:00;11,50;77,30
105;25.5.2019 15:41:00;11,40;77,80
106;25.5.2019 16:11:00;11,40;77,80
107;25.5.2019 16:41:00;11,50;77,90
108;25.5.2019 17:11:00;11,70;77,50
109;25.5.2019 17:41:00;12,20;78,80
110;25.5.2019 18:11:00;12,50;77,90
111;25.5.2019 18:41:00;12,20;77,60
112;25.5.2019 19:11:00;11,90;78,10
113;25.5.2019 19:41:00;11,70;78,50
114;25.5.2019 20:11:00;11,60;78,80
115;25.5.2019 20:41:00;11,60;79,10
116;25.5.2019 21:11:00;11,60;79,40
117;25.5.2019 21:41:00;11,50;79,60
118;25.5.2019 22:11:00;11,60;80,10
119;25.5.2019 22:41:00;11,50;80,20
120;25.5.2019 23:11:00;11,50;80,40
121;25.5.2019 23:41:00;11,50;81,40
122;26.5.2019 0:11:00;11,50;81,40
123;26.5.2019 0:41:00;11,50;81,60
124;26.5.2019 1:11:00;11,50;81,40
125;26.5.2019 1:41:00;11,50;81,40
126;26.5.2019 2:11:00;11,40;81,40
127;26.5.2019 2:41:00;11,40;81,20
128;26.5.2019 3:11:00;11,40;81,10
129;26.5.2019 3:41:00;11,40;81,00
130;26.5.2019 4:11:00;11,40;80,90
131;26.5.2019 4:41:00;11,30;80,90
132;26.5.2019 5:11:00;11,30;81,10
133;26.5.2019 5:41:00;11,30;81,10
134;26.5.2019 6:11:00;11,40;81,20
135;26.5.2019 6:41:00;11,40;81,80
136;26.5.2019 7:11:00;11,50;82,10
137;26.5.2019 7:41:00;11,50;81,80
138;26.5.2019 8:11:00;11,50;81,70
139;26.5.2019 8:41:00;11,50;81,50
140;26.5.2019 9:11:00;11,50;81,50
141;26.5.2019 9:41:00;11,50;81,50
142;26.5.2019 10:11:00;11,50;81,40
143;26.5.2019 10:41:00;11,60;81,30
144;26.5.2019 11:11:00;11,60;81,20
145;26.5.2019 11:41:00;11,60;81,20
146;26.5.2019 12:11:00;11,60;81,20
147;26.5.2019 12:41:00;11,60;81,20
148;26.5.2019 13:11:00;11,60;81,20
149;26.5.2019 13:41:00;11,60;81,20
150;26.5.2019 14:11:00;11,60;81,20
151;26.5.2019 14:41:00;11,60;81,20
152;26.5.2019 15:11:00;11,60;81,20
153;26.5.2019 15:41:00;11,60;81,30
154;26.5.2019 16:11:00;11,60;81,20
155;26.5.2019 16:41:00;11,60;81,20
156;26.5.2019 17:11:00;11,60;81,20
157;26.5.2019 17:41:00;11,60;81,20
158;26.5.2019 18:11:00;11,60;81,20
159;26.5.2019 18:41:00;11,60;81,20
160;26.5.2019 19:11:00;11,60;81,30
161;26.5.2019 19:41:00;11,60;81,20
162;26.5.2019 20:11:00;11,60;81,20
163;26.5.2019 20:41:00;11,60;81,20
164;26.5.2019 21:11:00;11,60;81,30
165;26.5.2019 21:41:00;11,60;81,40
166;26.5.2019 22:11:00;11,60;81,40
167;26.5.2019 22:41:00;11,70;81,50
168;26.5.2019 23:11:00;11,70;81,50
169;26.5.2019 23:41:00;11,70;81,60
170;27.5.2019 0:11:00;11,70;81,60
171;27.5.2019 0:41:00;11,70;81,60
172;27.5.2019 1:11:00;11,70;81,60
173;27.5.2019 1:41:00;11,70;81,70
174;27.5.2019 2:11:00;11,70;81,70
175;27.5.2019 2:41:00;11,70;81,80
176;27.5.2019 3:11:00;11,70;81,80
177;27.5.2019 3:41:00;11,70;81,60
178;27.5.2019 4:11:00;11,70;81,70
179;27.5.2019 4:41:00;11,70;81,80
180;27.5.2019 5:11:00;11,70;82,20
181;27.5.2019 5:41:00;11,70;82,30
182;27.5.2019 6:11:00;11,80;82,40
183;27.5.2019 6:41:00;11,80;82,40
184;27.5.2019 7:11:00;11,80;82,40
185;27.5.2019 7:41:00;11,80;82,40
186;27.5.2019 8:11:00;11,80;82,30
187;27.5.2019 8:41:00;11,80;82,20
188;27.5.2019 9:11:00;11,80;82,10
189;27.5.2019 9:41:00;11,80;81,90
190;27.5.2019 10:11:00;11,80;82,00
191;27.5.2019 10:41:00;11,80;81,90
192;27.5.2019 11:11:00;11,90;81,90
193;27.5.2019 11:41:00;11,90;81,80
194;27.5.2019 12:11:00;11,90;81,80
195;27.5.2019 12:41:00;11,90;81,80
196;27.5.2019 13:11:00;11,90;81,80
197;27.5.2019 13:41:00;11,90;81,80
198;27.5.2019 14:11:00;11,90;81,70
199;27.5.2019 14:41:00;11,90;81,80
200;27.5.2019 15:11:00;11,90;81,70
201;27.5.2019 15:41:00;11,90;81,80
202;27.5.2019 16:11:00;11,90;81,80
203;27.5.2019 16:41:00;11,90;82,20
204;27.5.2019 17:11:00;11,90;82,60
205;27.5.2019 17:41:00;11,90;82,40
206;27.5.2019 18:11:00;11,90;82,30
207;27.5.2019 18:41:00;12,00;82,50
208;27.5.2019 19:11:00;12,00;82,60
209;27.5.2019 19:41:00;12,00;82,70
210;27.5.2019 20:11:00;12,00;82,90
211;27.5.2019 20:41:00;12,00;83,30
212;27.5.2019 21:11:00;12,00;83,40
213;27.5.2019 21:41:00;12,00;83,50
214;27.5.2019 22:11:00;12,10;83,60
215;27.5.2019 22:41:00;12,10;83,50
216;27.5.2019 23:11:00;12,10;83,30
217;27.5.2019 23:41:00;12,10;83,30
218;28.5.2019 0:11:00;12,10;83,30
219;28.5.2019 0:41:00;12,10;83,50
220;28.5.2019 1:11:00;12,10;83,40
221;28.5.2019 1:41:00;12,10;83,50
222;28.5.2019 2:11:00;12,10;83,50
223;28.5.2019 2:41:00;12,10;83,40
224;28.5.2019 3:11:00;12,10;83,60
225;28.5.2019 3:41:00;12,10;83,50
226;28.5.2019 4:11:00;12,10;83,80
227;28.5.2019 4:41:00;12,10;83,60
228;28.5.2019 5:11:00;12,10;84,00
229;28.5.2019 5:41:00;12,20;84,10
230;28.5.2019 6:11:00;12,20;84,10
231;28.5.2019 6:41:00;12,20;84,40
232;28.5.2019 7:11:00;12,20;84,50
233;28.5.2019 7:41:00;12,20;84,90
234;28.5.2019 8:11:00;12,20;84,80
235;28.5.2019 8:41:00;12,20;84,60
236;28.5.2019 9:11:00;12,20;84,40
237;28.5.2019 9:41:00;12,20;84,50
238;28.5.2019 10:11:00;12,20;84,80
239;28.5.2019 10:41:00;12,20;84,40
240;28.5.2019 11:11:00;12,20;84,40
241;28.5.2019 11:41:00;12,20;84,60
242;28.5.2019 12:11:00;12,20;84,50
243;28.5.2019 12:41:00;12,20;84,40
244;28.5.2019 13:11:00;12,20;84,40
245;28.5.2019 13:41:00;12,20;84,40
246;28.5.2019 14:11:00;12,20;84,40
247;28.5.2019 14:41:00;12,30;85,90
248;28.5.2019 15:11:00;12,30;85,50
249;28.5.2019 15:41:00;12,30;85,40
250;28.5.2019 16:11:00;12,30;85,20
251;28.5.2019 16:41:00;12,30;86,00
252;28.5.2019 17:11:00;12,30;85,90
253;28.5.2019 17:41:00;12,30;85,80
254;28.5.2019 18:11:00;12,30;85,70
255;28.5.2019 18:41:00;12,20;85,20
256;28.5.2019 19:11:00;12,20;84,90
257;28.5.2019 19:41:00;12,20;84,80
258;28.5.2019 20:11:00;12,10;84,50
259;28.5.2019 20:41:00;12,10;84,20
260;28.5.2019 21:11:00;12,10;84,00
261;28.5.2019 21:41:00;12,00;83,90
262;28.5.2019 22:11:00;12,00;84,00
263;28.5.2019 22:41:00;12,00;83,90
264;28.5.2019 23:11:00;12,00;84,00
265;28.5.2019 23:41:00;12,00;84,00
266;29.5.2019 0:11:00;12,00;84,00
267;29.5.2019 0:41:00;12,00;84,00
268;29.5.2019 1:11:00;12,00;84,00
269;29.5.2019 1:41:00;12,00;84,00
270;29.5.2019 2:11:00;12,00;84,00
271;29.5.2019 2:41:00;12,00;84,00
272;29.5.2019 3:11:00;12,00;83,90
273;29.5.2019 3:41:00;12,00;83,80
274;29.5.2019 4:11:00;12,00;84,00
275;29.5.2019 4:41:00;12,00;83,90
276;29.5.2019 5:11:00;12,00;83,80
277;29.5.2019 5:41:00;12,00;83,80
278;29.5.2019 6:11:00;12,00;83,70
279;29.5.2019 6:41:00;11,90;83,60
280;29.5.2019 7:11:00;11,90;83,40
281;29.5.2019 7:41:00;11,90;83,00
282;29.5.2019 8:11:00;11,90;82,70
283;29.5.2019 8:41:00;11,90;82,70
284;29.5.2019 9:11:00;11,90;82,70
285;29.5.2019 9:41:00;11,90;82,80
286;29.5.2019 10:11:00;11,80;82,90
287;29.5.2019 10:41:00;11,80;83,00
288;29.5.2019 11:11:00;11,80;82,80
289;29.5.2019 11:41:00;11,80;82,50
290;29.5.2019 12:11:00;11,80;82,40
291;29.5.2019 12:41:00;11,70;82,30
292;29.5.2019 13:11:00;11,70;81,90
293;29.5.2019 13:41:00;11,70;82,00
294;29.5.2019 14:11:00;11,70;82,00
295;29.5.2019 14:41:00;11,70;81,50
296;29.5.2019 15:11:00;11,70;81,30
297;29.5.2019 15:41:00;11,70;81,20
298;29.5.2019 16:11:00;11,70;80,50
299;29.5.2019 16:41:00;11,60;80,60
300;29.5.2019 17:11:00;11,70;80,70
301;29.5.2019 17:41:00;11,70;80,90
302;29.5.2019 18:11:00;11,70;80,70
303;29.5.2019 18:41:00;11,70;80,30
304;29.5.2019 19:11:00;11,70;80,40
305;29.5.2019 19:41:00;11,70;80,50
306;29.5.2019 20:11:00;11,70;80,80
307;29.5.2019 20:41:00;11,70;80,60
308;29.5.2019 21:11:00;11,70;81,00
309;29.5.2019 21:41:00;11,70;81,00
310;29.5.2019 22:11:00;11,70;81,00
311;29.5.2019 22:41:00;11,60;80,90
312;29.5.2019 23:11:00;11,60;80,60
313;29.5.2019 23:41:00;11,60;80,50
314;30.5.2019 0:11:00;11,60;80,60
315;30.5.2019 0:41:00;11,60;80,40
316;30.5.2019 1:11:00;11,50;80,20
317;30.5.2019 1:41:00;11,50;80,30
318;30.5.2019 2:11:00;11,50;79,90
319;30.5.2019 2:41:00;11,50;79,90
320;30.5.2019 3:11:00;11,50;79,70
321;30.5.2019 3:41:00;11,50;79,60
322;30.5.2019 4:11:00;11,40;79,60
323;30.5.2019 4:41:00;11,40;79,50
324;30.5.2019 5:11:00;11,40;79,50
325;30.5.2019 5:41:00;11,40;79,60
326;30.5.2019 6:11:00;11,40;79,40
327;30.5.2019 6:41:00;11,40;79,40
328;30.5.2019 7:11:00;11,40;79,60
329;30.5.2019 7:41:00;11,40;79,00
330;30.5.2019 8:11:00;11,40;78,70
331;30.5.2019 8:41:00;11,40;78,70
332;30.5.2019 9:11:00;11,40;78,00
333;30.5.2019 9:41:00;11,40;77,70
334;30.5.2019 10:11:00;11,40;77,60
335;30.5.2019 10:41:00;11,40;77,10
336;30.5.2019 11:11:00;11,40;77,20
