zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	Algorit.	
443	11.06.2019 01:22	208	60	46	30	0	24	49	7	1	
444	11.06.2019 02:22	222	47	42	39	0	24	49	7	1	
445	11.06.2019 03:22	279	48	61	41	0	24	49	7	1	
446	11.06.2019 04:22	400	52	92	53	0	24	50	7	1	
447	11.06.2019 05:22	423	48	79	74	0	24	50	7	1	
448	11.06.2019 06:22	446	50	100	60	0	24	51	7	1	
449	11.06.2019 07:22	396	47	75	67	0	24	51	7	1	
450	11.06.2019 08:22	417	48	83	63	0	25	51	7	1	
451	11.06.2019 09:22	331	49	63	53	0	25	51	7	1	
452	11.06.2019 10:22	297	54	61	43	0	25	51	7	1	
453	11.06.2019 11:22	348	54	84	38	0	25	51	7	1	
454	11.06.2019 12:22	328	43	68	47	0	25	51	7	1	
455	11.06.2019 13:22	208	40	41	32	0	25	51	7	1	
456	11.06.2019 14:22	303	64	76	31	0	25	50	7	1	
457	11.06.2019 15:22	291	41	59	44	0	25	50	7	1	
458	11.06.2019 16:22	310	46	70	37	0	26	50	7	1	
459	11.06.2019 17:22	301	56	64	40	0	26	50	7	1	
460	11.06.2019 18:22	328	54	64	52	0	25	50	7	1	
461	11.06.2019 19:22	255	44	55	35	0	25	50	7	1	
462	11.06.2019 20:22	246	41	57	30	0	25	50	7	1	
463	11.06.2019 21:22	289	65	59	43	0	25	50	7	1	
464	11.06.2019 22:22	267	41	67	25	0	26	50	7	1	
465	11.06.2019 23:22	255	52	58	32	0	25	50	7	1	
466	12.06.2019 00:22	234	46	56	26	0	25	51	7	1	
467	12.06.2019 01:22	288	52	60	41	0	25	51	7	1	
468	12.06.2019 02:22	265	44	59	34	0	25	51	7	1	
469	12.06.2019 03:22	357	59	73	52	0	25	51	7	1	
470	12.06.2019 04:22	397	61	83	56	0	25	51	7	1	
471	12.06.2019 05:22	386	65	79	55	0	25	52	7	1	
472	12.06.2019 06:22	412	56	79	64	0	25	52	7	1	
473	12.06.2019 07:22	475	51	85	80	0	25	52	7	1	
474	12.06.2019 08:22	377	56	67	64	0	25	52	7	1	
475	12.06.2019 09:22	362	44	65	62	0	25	51	7	1	
476	12.06.2019 10:22	274	41	46	50	0	25	51	7	1	
477	12.06.2019 11:22	297	45	60	44	0	25	51	7	1	
478	12.06.2019 12:22	243	52	61	25	0	25	50	7	1	
479	12.06.2019 13:22	218	53	46	31	0	25	50	7	1	
480	12.06.2019 14:22	249	47	52	34	0	26	50	7	1	
481	12.06.2019 15:22	261	53	58	33	0	26	49	7	1	
482	12.06.2019 16:22	284	40	58	41	0	26	49	7	1	
483	12.06.2019 17:22	258	52	60	30	0	26	49	7	1	
484	12.06.2019 18:22	244	60	62	23	0	26	49	7	1	
485	12.06.2019 19:22	250	46	50	37	0	26	49	7	1	
486	12.06.2019 20:22	267	49	59	33	0	26	50	7	1	
487	12.06.2019 21:22	252	61	54	33	0	26	50	7	1	
488	12.06.2019 22:22	264	56	55	36	0	26	50	7	1	
489	12.06.2019 23:22	293	42	59	42	0	26	50	7	1	
490	13.06.2019 00:22	327	40	68	45	0	26	50	7	1	
491	13.06.2019 01:22	308	56	62	46	0	25	51	7	1	
492	13.06.2019 02:22	382	45	83	51	0	25	51	7	1	
493	13.06.2019 03:22	331	45	63	53	0	25	51	7	1	
494	13.06.2019 04:22	314	44	56	54	0	25	51	7	1	
495	13.06.2019 05:22	351	47	80	43	0	25	51	7	1	
496	13.06.2019 06:22	320	50	59	54	0	25	50	7	1	
497	13.06.2019 07:22	328	54	69	47	0	25	50	7	1	
498	13.06.2019 08:22	269	49	54	41	0	25	50	7	1	
499	13.06.2019 09:22	252	48	54	35	0	25	50	7	1	
500	13.06.2019 10:22	294	47	60	45	0	25	49	7	1	
501	13.06.2019 11:22	270	59	60	34	0	26	49	7	1	
502	13.06.2019 12:22	276	57	70	26	0	26	49	7	1	
503	13.06.2019 13:22	290	56	68	34	0	26	48	7	1	
504	13.06.2019 14:22	356	48	75	50	0	26	48	7	1	
505	13.06.2019 15:22	427	55	88	62	0	26	48	7	1	
506	13.06.2019 16:22	373	50	77	54	0	26	48	7	1	
507	13.06.2019 17:22	348	48	75	47	0	26	48	7	1	
508	13.06.2019 18:22	385	48	78	57	0	26	48	7	1	
509	13.06.2019 19:22	336	50	63	55	0	26	48	7	1	
510	13.06.2019 20:22	330	53	71	44	0	26	49	7	1	
511	13.06.2019 21:22	316	38	65	45	0	26	49	7	1	
512	13.06.2019 22:22	302	53	59	46	0	26	49	7	1	
513	13.06.2019 23:22	281	55	56	41	0	26	50	7	1	
514	14.06.2019 00:22	269	39	51	42	0	26	50	7	1	
