zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	Algorit.	
1	23.05.2019 13:55	4041	81	854	219	0	23	47	9	1	
2	23.05.2019 14:55	4834	85	696	655	0	23	42	9	1	
3	23.05.2019 15:55	4691	81	585	721	0	24	40	9	1	
4	23.05.2019 16:55	4354	84	580	661	0	24	38	9	1	
5	23.05.2019 17:55	4336	79	565	686	0	24	37	9	1	
6	23.05.2019 18:55	3898	99	504	635	0	24	36	9	1	
7	23.05.2019 19:55	3578	71	474	585	0	24	35	9	1	
8	23.05.2019 20:55	3361	74	482	513	0	24	35	9	1	
9	23.05.2019 21:55	3274	68	446	523	0	24	35	9	1	
10	23.05.2019 22:55	2980	70	431	463	0	24	34	9	1	
11	23.05.2019 23:55	2654	56	348	448	0	24	34	9	1	
12	24.05.2019 00:55	2330	47	333	366	0	24	34	9	1	
13	24.05.2019 01:55	2357	49	325	382	0	24	34	9	1	
14	24.05.2019 02:55	1983	42	255	340	0	24	34	9	1	
15	24.05.2019 03:55	1813	45	241	303	0	24	34	9	1	
16	24.05.2019 04:55	1660	42	217	288	0	24	33	9	1	
17	24.05.2019 05:55	1565	26	226	250	0	24	33	9	1	
18	24.05.2019 06:55	1456	39	195	248	1	24	33	9	1	
19	24.05.2019 07:55	1440	32	204	234	0	24	33	9	1	
20	24.05.2019 08:55	1082	21	110	219	0	24	33	9	1	
21	24.05.2019 09:55	792	18	103	138	0	24	33	9	1	
22	24.05.2019 10:55	713	21	94	123	0	24	33	9	1	
23	24.05.2019 11:55	795	13	124	118	0	24	33	9	1	
24	24.05.2019 12:55	822	23	117	133	0	24	33	9	1	
25	24.05.2019 13:55	802	24	127	117	0	24	33	9	1	
26	24.05.2019 14:55	993	12	161	141	0	24	33	9	1	
27	24.05.2019 15:55	1039	16	140	168	0	25	33	9	1	
28	24.05.2019 16:55	1113	23	152	178	0	25	33	9	1	
29	24.05.2019 17:55	941	18	117	162	0	25	33	9	1	
30	24.05.2019 18:55	894	15	126	139	0	25	33	9	1	
31	24.05.2019 19:55	769	24	121	107	0	25	33	9	1	
32	24.05.2019 20:55	847	19	119	132	0	25	33	9	1	
33	24.05.2019 21:55	924	21	127	147	0	25	33	9	1	
34	24.05.2019 22:55	816	21	116	126	0	25	33	9	1	
35	24.05.2019 23:55	961	21	147	138	0	25	33	9	1	
36	25.05.2019 00:55	1049	28	138	173	0	25	33	9	1	
37	25.05.2019 01:55	1082	20	176	153	0	24	33	9	1	
38	25.05.2019 02:55	1167	31	160	195	0	24	33	9	1	
39	25.05.2019 03:55	1154	23	160	191	0	24	33	9	1	
40	25.05.2019 04:55	1147	23	175	174	0	24	33	9	1	
41	25.05.2019 05:55	1059	29	146	168	0	25	33	9	1	
42	25.05.2019 06:55	1123	24	153	180	0	25	33	9	1	
43	25.05.2019 07:55	1120	20	166	166	0	25	33	9	1	
44	25.05.2019 08:55	1228	20	179	185	0	25	33	9	1	
45	25.05.2019 09:55	1140	24	181	157	0	25	33	9	1	
46	25.05.2019 10:55	1221	18	179	183	0	25	33	9	1	
47	25.05.2019 11:55	1272	23	179	198	0	25	33	9	1	
48	25.05.2019 12:55	1134	20	144	192	0	25	33	9	1	
49	25.05.2019 13:55	1252	27	172	199	0	25	33	9	1	
50	25.05.2019 14:55	1198	16	163	197	0	25	32	9	1	
51	25.05.2019 15:55	895	28	120	149	0	25	32	9	1	
52	25.05.2019 16:55	795	18	115	124	0	25	32	9	1	
53	25.05.2019 17:55	559	10	81	87	0	25	32	9	1	
54	25.05.2019 18:55	441	9	43	86	0	25	34	9	1	
55	25.05.2019 19:55	310	6	39	53	0	25	33	9	1	
56	25.05.2019 20:55	297	5	42	46	0	25	33	9	1	
57	25.05.2019 21:55	354	7	54	51	0	25	33	9	1	
58	25.05.2019 22:55	401	8	65	54	0	25	33	9	1	
59	25.05.2019 23:55	529	11	89	68	0	25	33	9	1	
60	26.05.2019 00:55	546	8	75	87	0	25	33	9	1	
61	26.05.2019 01:55	560	6	82	84	0	25	33	9	1	
62	26.05.2019 02:55	577	9	72	99	0	25	33	9	1	
63	26.05.2019 03:55	533	12	76	82	0	25	33	9	1	
64	26.05.2019 04:55	533	8	78	80	0	25	33	9	1	
65	26.05.2019 05:55	452	9	68	66	0	25	33	9	1	
66	26.05.2019 06:55	588	11	76	103	0	24	33	9	1	
67	26.05.2019 07:55	470	12	63	80	0	24	33	9	1	
68	26.05.2019 08:55	490	10	73	76	0	24	33	9	1	
69	26.05.2019 09:55	542	5	73	92	0	24	33	9	1	
70	26.05.2019 10:55	638	7	103	91	0	24	33	9	1	
71	26.05.2019 11:55	568	10	83	90	0	24	33	9	1	
72	26.05.2019 12:55	638	12	102	92	0	24	33	9	1	
73	26.05.2019 13:55	670	16	89	112	0	24	34	9	1	
74	26.05.2019 14:55	740	13	122	100	0	24	34	9	1	
75	26.05.2019 15:55	676	12	99	104	0	24	34	9	1	
76	26.05.2019 16:55	673	7	97	105	0	24	34	9	1	
77	26.05.2019 17:55	670	17	97	104	0	24	34	9	1	
78	26.05.2019 18:55	726	11	104	114	0	24	34	9	1	
79	26.05.2019 19:55	720	16	108	108	0	24	34	9	1	
80	26.05.2019 20:55	734	10	105	121	0	23	34	9	1	
81	26.05.2019 21:55	617	11	89	101	0	23	34	9	1	
82	26.05.2019 22:55	701	9	101	115	0	23	34	9	1	
83	26.05.2019 23:55	763	14	105	130	0	23	34	9	1	
84	27.05.2019 00:55	786	12	125	117	0	23	34	9	1	
85	27.05.2019 01:55	805	11	109	139	0	23	34	9	1	
86	27.05.2019 02:55	916	9	128	154	0	23	34	9	1	
87	27.05.2019 03:55	860	9	127	138	0	23	34	9	1	
88	27.05.2019 04:55	893	13	133	142	1	23	34	9	1	
89	27.05.2019 05:55	894	11	131	148	0	22	35	9	1	
90	27.05.2019 06:55	792	15	117	130	0	22	35	9	1	
91	27.05.2019 07:55	888	9	139	138	0	22	35	9	1	
92	27.05.2019 08:55	888	17	136	141	0	22	35	9	1	
93	27.05.2019 09:55	983	10	145	150	0	23	36	9	1	
94	27.05.2019 10:55	854	16	110	153	0	22	36	9	1	
95	27.05.2019 11:55	711	15	95	124	0	22	36	9	1	
96	27.05.2019 12:55	828	13	127	128	0	22	36	9	1	
97	27.05.2019 13:55	828	13	114	141	0	22	36	9	1	
98	27.05.2019 14:55	776	12	115	124	0	22	36	9	1	
99	27.05.2019 15:55	701	11	108	108	0	22	36	9	1	
100	27.05.2019 16:55	857	10	131	133	0	22	36	9	1	
101	27.05.2019 17:55	698	12	95	120	0	22	36	9	1	
102	27.05.2019 18:55	808	11	114	135	0	22	36	9	1	
103	27.05.2019 19:55	756	23	119	114	0	22	36	9	1	
104	27.05.2019 20:55	834	12	128	129	0	22	36	9	1	
105	27.05.2019 21:55	808	16	124	125	0	22	36	9	1	
106	27.05.2019 22:55	906	17	136	143	0	22	36	9	1	
107	27.05.2019 23:55	860	19	137	135	0	21	36	9	1	
108	28.05.2019 00:55	926	12	146	147	0	21	36	9	1	
109	28.05.2019 01:55	901	14	127	158	0	21	36	9	1	
110	28.05.2019 02:55	980	16	147	159	0	21	37	9	1	
111	28.05.2019 03:55	880	13	140	135	0	21	37	9	1	
112	28.05.2019 04:55	948	15	141	155	0	21	37	9	1	
113	28.05.2019 05:55	925	11	152	137	0	21	37	9	1	
114	28.05.2019 06:55	1002	15	150	163	0	21	37	9	1	
115	28.05.2019 07:55	1034	16	158	165	0	21	37	9	1	
116	28.05.2019 08:55	963	19	132	165	2	21	38	9	1	
117	28.05.2019 09:55	787	9	106	134	0	21	39	9	1	
118	28.05.2019 10:55	603	10	60	124	0	21	39	9	1	
119	28.05.2019 11:55	492	8	67	83	0	21	39	9	1	
120	28.05.2019 12:55	456	7	63	76	0	21	39	9	1	
121	28.05.2019 13:55	492	13	68	82	0	21	39	9	1	
122	28.05.2019 14:55	479	9	71	75	0	21	39	9	1	
123	28.05.2019 15:55	626	6	88	103	0	21	39	9	1	
124	28.05.2019 16:55	544	13	87	77	0	21	40	9	1	
125	28.05.2019 17:55	514	7	71	84	0	21	40	9	1	
126	28.05.2019 18:55	547	11	86	79	0	21	40	9	1	
127	28.05.2019 19:55	528	9	68	93	0	21	39	9	1	
128	28.05.2019 20:55	469	6	65	78	0	21	39	9	1	
129	28.05.2019 21:55	446	3	67	69	0	21	39	9	1	
130	28.05.2019 22:55	462	6	79	62	0	21	39	9	1	
131	28.05.2019 23:55	502	9	66	87	0	21	39	9	1	
132	29.05.2019 00:55	411	2	57	70	0	21	38	9	1	
133	29.05.2019 01:55	465	6	67	75	0	21	39	9	1	
134	29.05.2019 02:55	488	9	72	73	0	22	39	9	1	
135	29.05.2019 03:55	468	3	70	69	0	22	39	9	1	
136	29.05.2019 04:55	427	3	65	62	0	22	39	9	1	
137	29.05.2019 05:55	386	7	47	66	0	23	38	9	1	
138	29.05.2019 06:55	427	6	65	60	0	23	38	9	1	
139	29.05.2019 07:55	382	1	48	64	0	23	38	9	1	
140	29.05.2019 08:55	283	2	29	53	0	23	39	9	1	
141	29.05.2019 09:55	190	1	9	46	0	23	39	9	1	
142	29.05.2019 10:55	172	5	24	26	0	23	39	9	1	
143	29.05.2019 11:55	164	3	23	25	0	23	38	9	1	
144	29.05.2019 12:55	222	2	27	38	0	23	38	9	1	
145	29.05.2019 13:55	194	5	33	24	0	23	38	9	1	
146	29.05.2019 14:55	194	0	31	26	0	23	38	9	1	
147	29.05.2019 15:55	283	6	42	41	0	23	38	9	1	
148	29.05.2019 16:55	239	0	39	31	0	23	38	9	1	
149	29.05.2019 17:55	276	1	46	35	0	23	38	9	1	
150	29.05.2019 18:55	270	5	28	52	0	23	37	9	1	
151	29.05.2019 19:55	243	4	35	37	0	23	37	9	1	
152	29.05.2019 20:55	246	4	34	39	0	23	37	9	1	
153	29.05.2019 21:55	232	3	33	36	0	23	37	9	1	
154	29.05.2019 22:55	236	5	37	33	0	23	37	9	1	
155	29.05.2019 23:55	270	6	41	40	0	23	36	9	1	
156	30.05.2019 00:55	283	5	41	44	0	23	36	9	1	
157	30.05.2019 01:55	270	5	39	41	0	23	37	9	1	
158	30.05.2019 02:55	336	5	48	53	0	23	36	9	1	
159	30.05.2019 03:55	370	4	46	65	0	23	36	9	1	
160	30.05.2019 04:55	313	3	36	58	0	23	36	9	1	
161	30.05.2019 05:55	343	1	41	62	1	23	36	9	1	
162	30.05.2019 06:55	223	7	38	29	0	23	36	9	1	
163	30.05.2019 07:55	339	3	54	49	0	23	35	9	1	
164	30.05.2019 08:55	312	3	41	54	0	23	35	9	1	
165	30.05.2019 09:55	335	2	53	49	0	23	35	9	1	
166	30.05.2019 10:55	263	1	37	43	0	23	35	9	1	
167	30.05.2019 11:55	289	2	38	50	0	23	35	9	1	
168	30.05.2019 12:55	342	3	53	51	0	23	35	9	1	
169	30.05.2019 13:55	309	6	47	47	0	23	35	9	1	
170	30.05.2019 14:55	276	5	39	45	0	23	35	9	1	
171	30.05.2019 15:55	348	4	55	51	0	23	35	9	1	
172	30.05.2019 16:55	435	11	80	49	0	24	35	9	1	
173	30.05.2019 17:55	442	6	67	64	0	24	35	9	1	
174	30.05.2019 18:55	573	10	90	82	0	24	34	9	1	
175	30.05.2019 19:55	606	10	101	81	0	24	34	9	1	
