zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	Algorit.	
2	23.05.2019 14:00	5589	414	1742	1101	1	11	51	7	1	
3	23.05.2019 15:00	4725	284	956	1388	0	11	54	7	1	
4	23.05.2019 16:00	3038	173	513	982	1	11	55	8	1	
5	23.05.2019 17:00	1746	112	269	577	0	11	57	7	1	
6	23.05.2019 18:00	1059	97	203	306	0	11	58	7	1	
7	23.05.2019 19:00	767	67	151	215	0	11	59	7	1	
8	23.05.2019 20:00	604	64	125	161	0	11	60	8	1	
9	23.05.2019 21:00	395	51	89	97	0	11	61	8	1	
10	23.05.2019 22:00	349	56	103	60	0	11	62	8	1	
11	23.05.2019 23:00	353	49	102	63	0	11	62	8	1	
12	24.05.2019 00:00	330	45	80	73	0	11	63	8	1	
13	24.05.2019 01:00	382	55	99	77	0	11	64	8	1	
14	24.05.2019 02:00	382	57	116	60	0	11	64	8	1	
15	24.05.2019 03:00	389	52	109	69	0	11	65	8	1	
16	24.05.2019 04:00	376	61	89	83	0	11	65	8	1	
17	24.05.2019 05:00	381	47	100	79	0	10	65	8	1	
18	24.05.2019 06:00	392	50	104	79	0	10	66	8	1	
19	24.05.2019 07:00	375	60	97	78	0	10	66	8	1	
20	24.05.2019 08:00	392	53	104	74	0	11	66	8	1	
21	24.05.2019 09:00	468	64	137	74	0	11	67	8	1	
22	24.05.2019 10:00	490	63	131	90	0	11	67	8	1	
23	24.05.2019 11:00	475	51	103	111	0	11	67	8	1	
24	24.05.2019 12:00	404	44	103	79	0	11	67	8	1	
25	24.05.2019 13:00	435	58	113	83	0	11	67	8	1	
26	24.05.2019 14:00	465	57	128	80	0	11	68	8	1	
27	24.05.2019 15:00	492	65	130	90	0	11	68	8	1	
28	24.05.2019 16:00	480	68	123	92	0	11	68	7	1	
29	24.05.2019 17:00	460	52	117	89	0	11	68	8	1	
30	24.05.2019 18:00	535	68	130	108	0	11	69	8	1	
31	24.05.2019 19:00	594	60	129	135	0	11	69	8	1	
32	24.05.2019 20:00	583	55	132	127	0	11	69	8	1	
33	24.05.2019 21:00	565	72	132	119	0	11	69	7	1	
34	24.05.2019 22:00	463	68	97	109	0	11	69	8	1	
35	24.05.2019 23:00	448	37	108	90	0	11	70	8	1	
36	25.05.2019 00:00	346	46	82	71	0	11	70	8	1	
37	25.05.2019 01:00	353	59	85	71	0	11	70	8	1	
38	25.05.2019 02:00	247	55	68	41	0	11	70	8	1	
39	25.05.2019 03:00	310	59	79	58	0	11	70	8	1	
40	25.05.2019 04:00	253	57	76	35	0	11	71	8	1	
41	25.05.2019 05:00	358	41	100	57	0	11	71	8	1	
42	25.05.2019 06:00	342	59	80	70	0	11	71	8	1	
43	25.05.2019 07:00	280	48	76	47	0	11	71	8	1	
44	25.05.2019 08:00	214	40	54	40	0	11	71	8	1	
45	25.05.2019 09:00	212	55	58	35	0	11	71	8	1	
46	25.05.2019 10:00	300	40	101	30	0	11	72	8	1	
47	25.05.2019 11:00	387	50	118	51	0	11	72	8	1	
48	25.05.2019 12:00	505	71	144	76	0	11	72	8	1	
49	25.05.2019 13:00	654	53	169	116	0	11	72	8	1	
50	25.05.2019 14:00	649	55	149	134	0	11	72	8	1	
51	25.05.2019 15:00	635	51	143	126	0	12	72	8	1	
52	25.05.2019 16:00	576	53	132	112	0	12	72	8	1	
53	25.05.2019 17:00	528	46	118	107	0	12	71	8	1	
54	25.05.2019 18:00	481	52	104	100	0	12	72	8	1	
55	25.05.2019 19:00	318	40	70	65	0	12	72	8	1	
